open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,0.5141,0.5162,0.5092,0.5099,1841088,1675211399999,943607.1708,4574,747663,383216.2655,0
1675211400000,0.5098,0.5135,0.5089,0.5119,894448,1675213199999,457570.4344,2698,432949,221438.5599,0
1675213200000,0.5119,0.5137,0.5093,0.5097,729488,1675214999999,373518.5216,2199,356241,182412.1818,0
1675215000000,0.5098,0.5126,0.5089,0.5109,841031,1675216799999,429493.2271,2239,409797,209201.2283,0
1675216800000,0.5108,0.5114,0.5100,0.5109,403813,1675218599999,206277.3189,1300,183071,93515.3549,0
1675218600000,0.5108,0.5114,0.5087,0.5100,556765,1675220399999,283997.8403,1641,254081,129607.2931,0
1675220400000,0.5102,0.5123,0.5084,0.5090,636270,1675222199999,324912.5759,1719,325945,166427.8973,0
1675222200000,0.5090,0.5099,0.5073,0.5096,429667,1675223999999,218498.7514,1232,224642,114238.8527,0
1675224000000,0.5096,0.5116,0.5092,0.5113,617092,1675225799999,315107.0320,1693,299661,153005.8797,0
1675225800000,0.5113,0.5117,0.5094,0.5104,630003,1675227599999,321703.6695,1559,332766,169946.1661,0
1675227600000,0.5104,0.5112,0.5095,0.5110,486048,1675229399999,248081.8829,1533,258981,132201.8468,0
1675229400000,0.5110,0.5114,0.5081,0.5083,474030,1675231199999,241571.4574,1337,193151,98491.3463,0
1675231200000,0.5085,0.5099,0.5041,0.5061,1221309,1675232999999,619646.7826,3041,522140,264983.7041,0
1675233000000,0.5062,0.5074,0.5013,0.5032,1652726,1675234799999,833417.6750,3579,852779,429860.3747,0
1675234800000,0.5031,0.5064,0.5008,0.5063,906026,1675236599999,455747.5697,2278,458597,230731.7065,0
1675236600000,0.5062,0.5069,0.5029,0.5045,763763,1675238399999,385724.2335,2086,279582,141255.2628,0
1675238400000,0.5045,0.5048,0.4973,0.5011,2298658,1675240199999,1151836.2086,4887,1175782,589437.6274,0
1675240200000,0.5010,0.5029,0.4992,0.5018,949661,1675241999999,476018.2970,2395,515752,258517.3890,0
1675242000000,0.5018,0.5031,0.4979,0.5030,1230468,1675243799999,615723.7926,2997,638490,319503.0796,0
1675243800000,0.5031,0.5046,0.5026,0.5042,657150,1675245599999,330818.9710,1874,336813,169567.3447,0
1675245600000,0.5043,0.5065,0.5034,0.5045,1160528,1675247399999,586207.9242,2601,525860,265586.0889,0
1675247400000,0.5044,0.5059,0.5037,0.5054,729962,1675249199999,368370.6817,1757,387284,195486.8287,0
1675249200000,0.5054,0.5088,0.5053,0.5087,685180,1675250999999,347496.3700,1821,408963,207433.1366,0
1675251000000,0.5086,0.5090,0.5071,0.5074,948590,1675252799999,481887.7043,2322,452731,229989.1852,0
