open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,0.13519,0.13646,0.13431,0.13450,10878317,1675211399999,1472400.57939,8104,5387112,729440.36521,0
1675211400000,0.13449,0.13571,0.13403,0.13505,5909379,1675213199999,798181.77737,4709,2869843,387580.07700,0
1675213200000,0.13506,0.13619,0.13418,0.13433,6175450,1675214999999,834949.53091,4329,2815618,380844.57268,0
1675215000000,0.13428,0.13561,0.13421,0.13504,3138982,1675216799999,423368.63336,2694,1593730,214894.82655,0
1675216800000,0.13504,0.13511,0.13434,0.13457,2171554,1675218599999,292243.04674,2312,1149404,154670.57669,0
1675218600000,0.13457,0.13573,0.13446,0.13562,2810149,1675220399999,380088.01161,2621,1502459,203209.85613,0
1675220400000,0.13562,0.13582,0.13465,0.13473,2605303,1675222199999,352316.24314,2577,1285286,173824.66489,0
1675222200000,0.13474,0.13544,0.13474,0.13537,2605937,1675223999999,352300.95784,2718,1304923,176410.97418,0
1675224000000,0.13539,0.13584,0.13495,0.13546,4144955,1675225799999,561238.41441,3130,1916179,259518.40466,0
1675225800000,0.13546,0.13563,0.13467,0.13508,2232649,1675227599999,301816.24156,2182,1015336,137265.62185,0
1675227600000,0.13509,0.13534,0.13475,0.13531,3419412,1675229399999,461579.32489,2928,1772323,239263.57591,0
1675229400000,0.13530,0.13538,0.13355,0.13366,4580922,1675231199999,615504.72625,3362,2100457,282351.94620,0
1675231200000,0.13370,0.13404,0.13223,0.13246,8902453,1675232999999,1184327.61323,5586,4412957,587004.22901,0
1675233000000,0.13246,0.13266,0.13022,0.13060,10509052,1675234799999,1382620.43372,7034,4037000,531131.23160,0
1675234800000,0.13062,0.13218,0.12928,0.13212,12642959,1675236599999,1653722.13565,7974,6044447,791247.40515,0
1675236600000,0.13212,0.13212,0.13110,0.13124,4396366,1675238399999,578181.58184,3452,2019864,265674.07987,0
1675238400000,0.13124,0.13178,0.12945,0.12987,7420928,1675240199999,969212.69481,4997,3122200,407920.89479,0
1675240200000,0.12984,0.13056,0.12946,0.12981,4912728,1675241999999,638490.51777,4176,2287305,297309.73409,0
1675242000000,0.12975,0.12986,0.12730,0.12945,17119243,1675243799999,2200186.29947,11023,7384285,949323.17292,0
1675243800000,0.12945,0.12973,0.12867,0.12887,4481206,1675245599999,578773.08045,3565,2181750,281820.17595,0
1675245600000,0.12888,0.12977,0.12880,0.12888,4991904,1675247399999,644835.85629,3553,2780282,359163.26895,0
1675247400000,0.12890,0.12922,0.12819,0.12867,4369400,1675249199999,562508.47556,3383,2260121,290947.47352,0
1675249200000,0.12867,0.13008,0.12856,0.12996,4821852,1675250999999,623838.79392,3523,2648307,342611.90669,0
1675251000000,0.12996,0.13048,0.12948,0.13014,5481216,1675252799999,713231.10100,3780,2750485,357865.16201,0
1675252800000,0.13014,0.13014,0.12925,0.12979,4813356,1675254599999,624432.00459,3397,1908738,247633.38200,0
1675254600000,0.12979,0.12982,0.12902,0.12911,3178467,1675256399999,411341.21147,2302,1399904,181172.97033,0
1675256400000,0.12912,0.13003,0.12803,0.12951,9570020,1675258199999,1235602.75640,6520,3947617,509778.77090,0
1675258200000,0.12951,0.12978,0.12873,0.12905,3418692,1675259999999,442138.25942,2933,1756821,227231.93700,0
1675260000000,0.12905,0.12951,0.12846,0.12879,4187919,1675261799999,539472.13843,3196,2271804,292646.61345,0
1675261800000,0.12878,0.12923,0.12750,0.12859,6062591,1675263599999,778449.30706,5008,2769100,355690.86547,0
1675263600000,0.12858,0.12869,0.12628,0.12752,8730219,1675265399999,1113206.99570,6548,3581353,457112.03840,0
1675265400000,0.12753,0.12817,0.12541,0.12654,13632911,1675267199999,1729799.16965,9002,6391653,811705.07782,0
1675267200000,0.12653,0.12742,0.12637,0.12654,6697691,1675268999999,850341.88775,5081,3392513,430664.03535,0
1675269000000,0.12648,0.12681,0.12500,0.12577,7850033,1675270799999,988105.06575,6147,3670226,462096.96518,0
1675270800000,0.12579,0.12646,0.12463,0.12591,7796068,1675272599999,978845.23983,5697,4086801,513352.49583,0
1675272600000,0.12590,0.12608,0.12400,0.12487,9775093,1675274399999,1222569.94326,6830,4884240,611218.48333,0
1675274400000,0.12490,0.12669,0.12488,0.12667,9890558,1675276199999,1243527.58771,6959,5060444,636348.38848,0
1675276200000,0.12665,0.12685,0.12529,0.12623,8280219,1675277999999,1044286.10594,5987,3937511,496700.10779,0
1675278000000,0.12626,0.12885,0.12560,0.12678,16918725,1675279799999,2157750.29938,11787,8170822,1041889.35664,0
1675279800000,0.12674,0.13225,0.12541,0.13086,25330737,1675281599999,3278129.07497,19201,12262341,1586797.85918,0
1675281600000,0.13091,0.13255,0.12963,0.13249,14880197,1675283399999,1952227.21598,11471,7477224,981717.52187,0
1675283400000,0.13247,0.13289,0.13121,0.13212,9217737,1675285199999,1218194.79747,7969,4164724,550325.94494,0
1675285200000,0.13214,0.13583,0.13211,0.13500,15996108,1675286999999,2146377.56937,12460,8869063,1190192.65205,0
1675287000000,0.13499,0.13530,0.13376,0.13448,8569039,1675288799999,1153929.95417,6428,3690236,497026.02937,0
1675288800000,0.13451,0.13532,0.13411,0.13467,7109138,1675290599999,958387.83138,5792,3330221,449002.50851,0
1675290600000,0.13473,0.13504,0.13400,0.13485,3802950,1675292399999,511974.09392,3462,1805329,243092.20434,0
1675292400000,0.13487,0.13569,0.13434,0.13528,7308618,1675294199999,986738.03752,5728,3331024,449687.62779,0
1675294200000,0.13533,0.13537,0.13361,0.13456,5574608,1675295999999,748273.27276,4550,2379536,319556.05834,0
1675296000000,0.13457,0.13805,0.13453,0.13760,22045218,1675297799999,3010357.99847,15149,12198652,1665543.17049,0
1675297800000,0.13760,0.13954,0.13723,0.13850,16124570,1675299599999,2229817.52875,12902,7382149,1021040.49666,0
1675299600000,0.13849,0.13944,0.13786,0.13850,8656916,1675301399999,1198891.11695,6820,4025642,557758.92372,0
1675301400000,0.13851,0.13887,0.13736,0.13748,4541940,1675303199999,627464.83258,4313,1875554,259269.14724,0
1675303200000,0.13746,0.13809,0.13668,0.13727,4372638,1675304999999,600424.70703,4147,1902896,261361.95901,0
1675305000000,0.13728,0.13768,0.13647,0.13725,3905716,1675306799999,535487.16441,3907,1925856,264042.42593,0
1675306800000,0.13723,0.13779,0.13684,0.13706,2880010,1675308599999,395427.70377,3320,1395474,191610.26911,0
1675308600000,0.13707,0.13838,0.13707,0.13779,3962738,1675310399999,546639.93875,3074,2650596,365692.63969,0
1675310400000,0.13780,0.13827,0.13761,0.13800,2816293,1675312199999,388430.65660,2820,1361782,187821.89096,0
1675312200000,0.13800,0.13891,0.13785,0.13826,4129891,1675313999999,571647.34455,3570,1955913,270826.76216,0
1675314000000,0.13828,0.13828,0.13741,0.13780,3632052,1675315799999,500742.80489,3689,1518869,209394.39150,0
1675315800000,0.13781,0.13795,0.13687,0.13695,4245381,1675317599999,584246.50306,3740,1789756,246354.69569,0
1675317600000,0.13695,0.13759,0.13507,0.13607,11480783,1675319399999,1563968.82639,8003,4165425,567982.06031,0
1675319400000,0.13609,0.13799,0.13593,0.13762,6431250,1675321199999,881664.32580,4852,3670221,503022.43628,0
1675321200000,0.13764,0.13829,0.13741,0.13771,3969142,1675322999999,547219.53269,3958,1653225,227956.92241,0
1675323000000,0.13769,0.13776,0.13662,0.13720,7062504,1675324799999,968373.41311,5165,3354408,459972.30175,0
1675324800000,0.13718,0.13821,0.13663,0.13807,7278710,1675326599999,999764.45103,5591,3651550,501509.91760,0
1675326600000,0.13809,0.13841,0.13756,0.13821,5648294,1675328399999,779269.00567,4357,2536688,350047.29838,0
1675328400000,0.13822,0.13822,0.13707,0.13747,5489199,1675330199999,755460.01600,4145,2593466,356919.42834,0
1675330200000,0.13747,0.13841,0.13737,0.13821,6447325,1675331999999,889624.24647,3451,3465421,478184.81534,0
1675332000000,0.13819,0.13820,0.13737,0.13751,3412811,1675333799999,470573.43521,2898,1213393,167357.73669,0
1675333800000,0.13755,0.13771,0.13707,0.13749,3399358,1675335599999,467020.32970,2739,1395367,191740.73032,0
1675335600000,0.13750,0.13910,0.13745,0.13899,8284733,1675337399999,1146962.64128,5202,4067252,563199.84678,0
