open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,0.1957,0.1971,0.1947,0.1951,1432245,1675211399999,280629.7834,2360,770333,150979.1137,0
1675211400000,0.1951,0.1982,0.1949,0.1980,1513773,1675213199999,298481.6138,2201,915231,180537.9435,0
1675213200000,0.1981,0.1988,0.1965,0.1966,1234881,1675214999999,244224.9064,1666,590378,116777.6133,0
1675215000000,0.1966,0.1989,0.1964,0.1984,883769,1675216799999,174814.7643,1359,438549,86733.0803,0
1675216800000,0.1984,0.1984,0.1976,0.1983,630868,1675218599999,124900.6687,887,336780,66669.5836,0
1675218600000,0.1983,0.2007,0.1983,0.2004,991785,1675220399999,197903.4560,1320,616251,122989.7982,0
1675220400000,0.2004,0.2030,0.2004,0.2010,1984956,1675222199999,400106.2903,2360,930225,187585.7682,0
1675222200000,0.2010,0.2013,0.2002,0.2008,798032,1675223999999,160228.2313,1110,418928,84110.3037,0
1675224000000,0.2008,0.2026,0.2008,0.2025,976650,1675225799999,197072.5777,1254,569053,114816.3249,0
1675225800000,0.2026,0.2028,0.2012,0.2016,695262,1675227599999,140358.1565,921,239087,48283.9133,0
1675227600000,0.2017,0.2020,0.2008,0.2012,768820,1675229399999,154864.4441,1025,335902,67668.3107,0
1675229400000,0.2013,0.2020,0.1998,0.2001,1459470,1675231199999,292877.4583,1351,571042,114623.8449,0
1675231200000,0.2000,0.2007,0.1977,0.1989,1731315,1675232999999,345011.9649,2280,783881,156204.5441,0
1675233000000,0.1989,0.1989,0.1952,0.1960,1782512,1675234799999,351515.0686,2220,700939,138222.7808,0
1675234800000,0.1960,0.1983,0.1950,0.1981,1196892,1675236599999,235320.8006,1822,679529,133507.9613,0
1675236600000,0.1982,0.1987,0.1972,0.1975,842560,1675238399999,166933.4695,1183,331383,65655.7399,0
1675238400000,0.1974,0.1975,0.1933,0.1938,2931213,1675240199999,571025.3867,3026,1287411,250785.8797,0
1675240200000,0.1937,0.1961,0.1935,0.1949,1204292,1675241999999,234731.0331,1477,623144,121463.3199,0
1675242000000,0.1949,0.1964,0.1931,0.1964,1260757,1675243799999,245918.2301,1825,669337,130585.8547,0
1675243800000,0.1964,0.1966,0.1946,0.1947,838986,1675245599999,163862.7547,1284,358918,70128.8374,0
1675245600000,0.1947,0.1960,0.1945,0.1946,906489,1675247399999,176875.8284,1494,378212,73802.7355,0
1675247400000,0.1947,0.1949,0.1921,0.1937,1571137,1675249199999,303623.2044,1599,528863,102280.9987,0
1675249200000,0.1937,0.1957,0.1935,0.1957,747904,1675250999999,145617.7503,1086,452726,88142.5681,0
1675251000000,0.1956,0.1957,0.1945,0.1945,566623,1675252799999,110486.0154,811,235581,45952.4544,0
1675252800000,0.1944,0.1948,0.1939,0.1945,806391,1675254599999,156746.2861,1123,396385,77057.6226,0
1675254600000,0.1945,0.1950,0.1932,0.1938,858631,1675256399999,166830.3927,1136,448759,87241.1665,0
1675256400000,0.1938,0.1947,0.1913,0.1940,1736013,1675258199999,335026.1565,2246,746987,144308.8360,0
1675258200000,0.1940,0.1940,0.1923,0.1928,909600,1675259999999,175807.6547,1283,464575,89785.9640,0
1675260000000,0.1927,0.1938,0.1923,0.1928,860338,1675261799999,165964.6223,1238,444288,85695.9437,0
1675261800000,0.1927,0.1937,0.1912,0.1922,1334621,1675263599999,256865.5996,1972,604972,116485.8804,0
1675263600000,0.1922,0.1926,0.1901,0.1913,1187601,1675265399999,227285.2415,1985,544361,104211.3781,0
1675265400000,0.1912,0.1917,0.1872,0.1886,2580529,1675267199999,488559.3610,2972,982645,186144.3601,0
1675267200000,0.1885,0.1898,0.1881,0.1891,1461549,1675268999999,276265.7744,1590,794320,150118.6815,0
1675269000000,0.1891,0.1891,0.1868,0.1881,1207604,1675270799999,227180.1446,1523,545399,102639.8021,0
