open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,6.680,6.721,6.633,6.648,74925.1,1675211399999,500482.7369,3095,43035.3,287597.0551,0
1675211400000,6.648,6.713,6.642,6.684,43642.9,1675213199999,291780.8442,1798,22452.3,150114.5004,0
1675213200000,6.682,6.720,6.664,6.675,43267.5,1675214999999,289782.0586,1901,19495.8,130561.4279,0
1675215000000,6.671,6.722,6.657,6.699,36639.0,1675216799999,245086.9258,1694,16835.3,112643.0019,0
1675216800000,6.697,6.709,6.669,6.676,32794.3,1675218599999,219327.1317,1564,11387.5,76181.0368,0
1675218600000,6.676,6.710,6.669,6.703,31095.6,1675220399999,208012.8218,1522,12152.8,81287.2221,0
1675220400000,6.703,6.728,6.663,6.671,50689.6,1675222199999,339647.4634,1922,18862.1,126400.3821,0
1675222200000,6.670,6.686,6.664,6.675,29723.7,1675223999999,198460.8475,1471,12110.5,80874.7862,0
1675224000000,6.676,6.698,6.651,6.674,44173.5,1675225799999,294797.4485,1498,17219.5,114955.3231,0
1675225800000,6.675,6.687,6.634,6.643,28465.3,1675227599999,189437.0570,1226,7891.4,52522.3679,0
1675227600000,6.646,6.660,6.644,6.655,21813.1,1675229399999,145096.1417,866,12326.2,81992.8452,0
1675229400000,6.657,6.665,6.617,6.619,30892.3,1675231199999,205114.7607,1394,11520.5,76516.2296,0
1675231200000,6.619,6.621,6.581,6.591,51099.7,1675232999999,337524.3402,2030,28307.8,187012.5735,0
1675233000000,6.590,6.610,6.558,6.568,45823.2,1675234799999,301870.2238,1853,25135.8,165609.4249,0
1675234800000,6.565,6.603,6.552,6.594,39756.6,1675236599999,261377.6022,1886,22946.7,150823.2051,0
1675236600000,6.596,6.596,6.565,6.587,29646.1,1675238399999,195104.9542,1121,13953.0,91821.7987,0
1675238400000,6.586,6.586,6.512,6.529,57031.8,1675240199999,373765.8394,2080,25737.5,168693.3546,0
1675240200000,6.529,6.582,6.517,6.543,50648.9,1675241999999,332091.1577,2003,29616.6,194194.1463,0
1675242000000,6.543,6.605,6.513,6.601,51181.9,1675243799999,335348.8757,2018,30178.1,197831.8239,0
1675243800000,6.598,6.598,6.560,6.578,33292.6,1675245599999,218994.3444,1376,13246.4,87151.0826,0
1675245600000,6.579,6.604,6.565,6.589,32416.2,1675247399999,213584.5580,1802,15440.5,101719.7038,0
1675247400000,6.589,6.619,6.575,6.608,27696.7,1675249199999,182725.9715,1458,12420.2,81958.5808,0
1675249200000,6.608,6.623,6.596,6.618,18694.9,1675250999999,123592.9099,807,10450.3,69085.7353,0
1675251000000,6.617,6.625,6.594,6.600,34267.8,1675252799999,226538.2729,1180,12420.2,82125.9737,0
1675252800000,6.600,6.620,6.593,6.614,26776.3,1675254599999,176828.3188,1300,14953.6,98768.9395,0
1675254600000,6.616,6.622,6.586,6.595,22472.3,1675256399999,148395.1758,1120,8857.5,58503.5901,0
1675256400000,6.595,6.644,6.555,6.611,50014.6,1675258199999,330329.3986,2195,26076.4,172238.7177,0
1675258200000,6.611,6.619,6.582,6.598,20399.4,1675259999999,134710.5959,1157,9735.7,64294.8114,0
1675260000000,6.599,6.626,6.586,6.604,23166.6,1675261799999,152935.3885,1300,10840.4,71548.1820,0
1675261800000,6.603,6.618,6.543,6.599,48582.9,1675263599999,319803.8363,2053,19366.9,127502.6466,0
1675263600000,6.600,6.615,6.552,6.584,62181.2,1675265399999,409348.4922,3065,27423.1,180582.6399,0
1675265400000,6.580,6.645,6.497,6.555,123121.0,1675267199999,809826.0161,4206,60713.6,399688.8033,0
1675267200000,6.553,6.599,6.531,6.557,73013.7,1675268999999,479698.0332,3653,33287.9,218656.4608,0
1675269000000,6.557,6.611,6.530,6.565,68175.9,1675270799999,448199.2615,2946,36228.7,238114.4183,0
1675270800000,6.568,6.602,6.564,6.585,49727.3,1675272599999,327337.6511,2357,26885.3,176972.0891,0
1675272600000,6.584,6.591,6.504,6.542,46553.3,1675274399999,304740.9960,2333,23664.7,154827.7962,0
1675274400000,6.544,6.603,6.502,6.594,70011.6,1675276199999,457736.0170,3366,32281.0,211155.7761,0
1675276200000,6.597,6.605,6.549,6.573,73183.2,1675277999999,481468.9466,3108,35187.9,231394.9547,0
1675278000000,6.576,6.692,6.545,6.657,164055.2,1675279799999,1089473.9280,5947,80435.1,534099.7896,0
1675279800000,6.658,6.885,6.609,6.864,276959.6,1675281599999,1872326.2394,9577,136694.8,924415.0600,0
1675281600000,6.863,6.933,6.840,6.926,144707.3,1675283399999,997836.3724,5727,70398.3,485551.8515,0
