open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,2.1375,2.1586,2.1119,2.1276,1282370.8,1675211399999,2740902.62562,13169,609440.8,1303533.70102,0
1675211400000,2.1276,2.1506,2.1232,2.1344,712339.7,1675213199999,1523259.36985,7263,405611.7,867476.38840,0
1675213200000,2.1340,2.1379,2.0981,2.1014,771325.8,1675214999999,1634088.65943,8025,309460.4,655821.56147,0
1675215000000,2.1014,2.1472,2.0993,2.1464,700360.0,1675216799999,1488223.16336,7105,400303.2,850530.70082,0
1675216800000,2.1460,2.1672,2.1387,2.1467,729455.3,1675218599999,1568929.20372,8591,363783.1,782597.10049,0
1675218600000,2.1468,2.1522,2.1227,2.1366,623358.8,1675220399999,1332553.49654,6725,282568.4,604121.69456,0
1675220400000,2.1366,2.1438,2.1154,2.1203,558470.6,1675222199999,1188293.49532,6026,259720.0,552748.40748,0
1675222200000,2.1203,2.1272,2.1088,2.1253,383990.6,1675223999999,813224.61491,4563,198870.6,421270.91840,0
1675224000000,2.1251,2.1439,2.1226,2.1433,565781.9,1675225799999,1207752.00338,6178,284758.1,607981.34438,0
1675225800000,2.1435,2.1520,2.1348,2.1497,452648.1,1675227599999,970245.02782,5762,233559.7,500649.75112,0
1675227600000,2.1495,2.1584,2.1440,2.1567,576526.3,1675229399999,1239794.51709,7305,300289.3,645860.10909,0
1675229400000,2.1564,2.1564,2.1300,2.1317,503843.2,1675231199999,1077393.58758,5975,213447.9,456355.83347,0
1675231200000,2.1316,2.1383,2.1034,2.1194,815484.3,1675232999999,1731258.99903,8486,372021.8,789745.87846,0
1675233000000,2.1193,2.1287,2.0905,2.0968,622561.0,1675234799999,1314723.42658,7781,270622.4,571944.00081,0
1675234800000,2.0963,2.1513,2.0900,2.1471,806371.1,1675236599999,1709187.32146,9484,416672.9,882942.49841,0
1675236600000,2.1474,2.1546,2.1298,2.1446,548835.8,1675238399999,1174604.67174,6253,232457.2,497409.49761,0
1675238400000,2.1449,2.1548,2.1240,2.1364,859602.6,1675240199999,1840336.37735,9844,394365.8,844479.66631,0
1675240200000,2.1365,2.1799,2.1346,2.1767,1109260.9,1675241999999,2396884.52241,12567,562377.6,1215405.73684,0
1675242000000,2.1770,2.1984,2.1223,2.1813,1801883.6,1675243799999,3902560.20767,18224,860727.0,1864335.36799,0
1675243800000,2.1812,2.1813,2.1170,2.1622,1328304.6,1675245599999,2852764.90759,13444,643819.5,1382069.34851,0
1675245600000,2.1625,2.2033,2.1556,2.1698,1228433.5,1675247399999,2677334.85454,13132,590200.3,1286704.19772,0
1675247400000,2.1701,2.1790,2.1490,2.1729,670120.8,1675249199999,1450275.32790,6990,315037.4,681901.42915,0
1675249200000,2.1737,2.1747,2.1394,2.1431,611717.2,1675250999999,1319352.45473,6620,280172.2,604115.32488,0
1675251000000,2.1421,2.1525,2.1122,2.1518,980823.0,1675252799999,2089066.69152,9611,487566.3,1038098.28749,0
1675252800000,2.1517,2.1647,2.1101,2.1349,1121847.6,1675254599999,2392751.45738,10859,523922.3,1117291.93212,0
1675254600000,2.1338,2.1357,2.1017,2.1144,752912.5,1675256399999,1593270.48136,7508,380634.1,805677.02030,0
1675256400000,2.1147,2.1220,2.0818,2.1063,1121759.5,1675258199999,2359506.48444,11075,496652.8,1045032.47087,0
1675258200000,2.1062,2.1062,2.0865,2.0907,674607.5,1675259999999,1413442.05650,7588,341121.9,714717.28612,0
1675260000000,2.0908,2.0997,2.0805,2.0852,510113.0,1675261799999,1065301.06061,5707,280634.1,586096.88723,0
1675261800000,2.0857,2.0858,2.0511,2.0600,1180139.5,1675263599999,2439733.53769,12136,523878.3,1083200.98031,0
1675263600000,2.0605,2.0681,2.0278,2.0456,1078098.9,1675265399999,2207991.35260,10908,470636.0,964361.93962,0
1675265400000,2.0458,2.0580,2.0130,2.0327,1071022.9,1675267199999,2177786.76911,11802,493435.0,1003859.55374,0
1675267200000,2.0327,2.0401,2.0127,2.0138,740223.0,1675268999999,1500431.18927,8623,329830.4,668769.53554,0
1675269000000,2.0138,2.0205,2.0009,2.0163,708535.5,1675270799999,1425031.17573,7957,346520.2,697088.37569,0
1675270800000,2.0156,2.0199,2.0032,2.0148,433009.7,1675272599999,871063.18889,5027,213384.7,429320.79702,0
1675272600000,2.0146,2.0146,1.9840,2.0024,913110.0,1675274399999,1826237.05144,8831,372662.0,745564.78118,0
1675274400000,2.0022,2.0156,1.9897,2.0125,621722.7,1675276199999,1243870.82924,6565,300956.2,602297.43344,0
1675276200000,2.0129,2.0184,1.9922,2.0058,765269.5,1675277999999,1533873.79890,8384,387226.8,776203.19995,0
1675278000000,2.0047,2.0697,1.9943,2.0580,2360722.1,1675279799999,4811917.78845,22427,1197361.8,2440578.84488,0
1675279800000,2.0580,2.1322,2.0240,2.1137,2741009.1,1675281599999,5717520.58234,24084,1251768.1,2610511.90400,0
1675281600000,2.1141,2.1720,2.1141,2.1568,2074627.5,1675283399999,4460944.80370,19392,994374.7,2137497.27557,0
1675283400000,2.1566,2.1650,2.1372,2.1527,799190.0,1675285199999,1720728.92833,9600,367809.5,792176.41762,0
1675285200000,2.1529,2.1894,2.1529,2.1785,1498597.6,1675286999999,3256995.86518,14135,750066.5,1630226.22351,0
1675287000000,2.1786,2.1802,2.1543,2.1717,841825.4,1675288799999,1825423.22589,8559,406808.0,882176.78513,0
1675288800000,2.1715,2.1988,2.1714,2.1935,728145.1,1675290599999,1593538.37372,7688,364208.5,797025.96734,0
1675290600000,2.1940,2.2214,2.1811,2.2089,827574.1,1675292399999,1823267.51756,9290,464264.6,1023404.29054,0
1675292400000,2.2089,2.2184,2.1933,2.1971,615877.4,1675294199999,1358311.65329,6650,270349.6,596532.11779,0
1675294200000,2.1972,2.2273,2.1887,2.2150,694659.2,1675295999999,1531905.72390,7656,335748.0,740554.74006,0
1675296000000,2.2146,2.2800,2.2032,2.2540,1696074.1,1675297799999,3807683.62832,21431,873034.1,1960847.25614,0
1675297800000,2.2535,2.2849,2.2397,2.2597,1646292.1,1675299599999,3719061.21338,17644,748644.7,1691893.25510,0
1675299600000,2.2603,2.2669,2.2229,2.2250,953867.5,1675301399999,2137915.72171,10699,365406.0,819199.58998,0
1675301400000,2.2250,2.2365,2.2071,2.2363,624014.3,1675303199999,1386525.44687,6849,294082.0,653572.42852,0
1675303200000,2.2359,2.2508,2.2291,2.2496,462981.7,1675304999999,1037350.12766,5968,204504.7,458309.05012,0
1675305000000,2.2500,2.3260,2.2461,2.2850,1478759.9,1675306799999,3382340.86313,17566,721742.1,1651198.43008,0
1675306800000,2.2851,2.3500,2.2765,2.3015,1710403.2,1675308599999,3944459.85794,16835,820011.9,1890946.92185,0
1675308600000,2.3024,2.3149,2.2825,2.2988,934824.5,1675310399999,2148808.36910,9100,450797.6,1036713.09959,0
1675310400000,2.2985,2.3176,2.2943,2.2956,556751.8,1675312199999,1283812.77721,6913,251738.8,580520.03374,0
1675312200000,2.2955,2.3212,2.2952,2.3135,733599.8,1675313999999,1693528.53558,7966,379590.5,876272.13210,0
