open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,0.55390,0.55770,0.55080,0.55300,508939,1675211399999,282135.19580,2419,279067,154717.21150,0
1675211400000,0.55280,0.55810,0.55160,0.55620,267045,1675213199999,148349.37780,1398,137120,76191.77330,0
1675213200000,0.55610,0.55810,0.55310,0.55340,262951,1675214999999,146354.78760,1088,114039,63500.52950,0
1675215000000,0.55350,0.55880,0.55320,0.55790,247808,1675216799999,137966.88140,1147,150270,83672.00370,0
1675216800000,0.55770,0.55830,0.55560,0.55630,250725,1675218599999,139560.57850,1318,152714,84997.79470,0
1675218600000,0.55620,0.55760,0.55470,0.55720,269070,1675220399999,149669.30060,1225,164991,91774.49730,0
1675220400000,0.55720,0.55870,0.55390,0.55420,325442,1675222199999,181112.82100,1351,183219,101998.70650,0
1675222200000,0.55410,0.55530,0.55210,0.55470,238279,1675223999999,131930.50660,1050,144584,80056.32450,0
1675224000000,0.55470,0.55780,0.55470,0.55640,214701,1675225799999,119487.18630,896,120555,67073.73470,0
1675225800000,0.55640,0.55680,0.55330,0.55450,157393,1675227599999,87413.17170,752,54335,30179.80140,0
1675227600000,0.55450,0.55590,0.55400,0.55540,184479,1675229399999,102382.36970,895,109747,60914.21220,0
1675229400000,0.55540,0.55590,0.54890,0.54930,735315,1675231199999,405811.52830,2118,269144,148605.66010,0
1675231200000,0.54940,0.55260,0.54700,0.54970,1381212,1675232999999,760290.91360,3585,830429,457225.47010,0
1675233000000,0.54970,0.55150,0.54640,0.54740,750259,1675234799999,411983.95460,2125,423265,232489.85370,0
1675234800000,0.54740,0.55040,0.54270,0.55020,458661,1675236599999,250390.98440,1878,235947,128853.40300,0
1675236600000,0.55030,0.55100,0.54670,0.54840,315710,1675238399999,173274.50000,1148,140559,77158.26410,0
1675238400000,0.54830,0.54890,0.53670,0.53710,815872,1675240199999,443749.97090,2753,271646,147772.96620,0
1675240200000,0.53740,0.54230,0.53720,0.53970,440750,1675241999999,237973.50730,1600,249886,134910.95750,0
1675242000000,0.53980,0.54230,0.53610,0.54210,370575,1675243799999,199657.77300,1549,182066,98133.61120,0
1675243800000,0.54240,0.54280,0.53960,0.54040,230129,1675245599999,124440.06790,861,104766,56634.01810,0
1675245600000,0.54040,0.54510,0.53940,0.53990,1327770,1675247399999,718894.09830,3800,669399,362608.65630,0
1675247400000,0.53980,0.54190,0.53870,0.54000,461020,1675249199999,249055.26650,1558,258852,139840.29770,0
1675249200000,0.54000,0.54390,0.53990,0.54300,396445,1675250999999,214803.10540,1489,208674,113056.06830,0
1675251000000,0.54300,0.54400,0.54240,0.54250,241968,1675252799999,131509.03220,1129,139709,75935.56690,0
1675252800000,0.54270,0.54400,0.54100,0.54260,387239,1675254599999,209974.93470,1957,163535,88692.74610,0
