open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,23119.50,23161.40,23022.50,23034.90,10495.773,1675211399999,242248951.30770,69848,4697.388,108431184.33690,0
1675211400000,23034.90,23104.50,22988.00,23076.20,6617.374,1675213199999,152556682.50910,49256,3313.413,76390246.61580,0
1675213200000,23076.30,23112.60,23051.00,23056.70,3928.570,1675214999999,90679890.71150,33871,1963.315,45316584.76610,0
1675215000000,23056.60,23177.70,23052.40,23118.70,7158.908,1675216799999,165585526.75780,48405,3728.771,86241763.29090,0
1675216800000,23118.70,23125.30,23073.70,23080.10,3546.936,1675218599999,81909224.71360,27269,1724.471,39823575.09450,0
1675218600000,23080.00,23107.30,23073.60,23102.20,2668.508,1675220399999,61622828.02300,21257,1411.290,32590642.77390,0
1675220400000,23102.30,23105.10,23058.80,23075.50,2718.240,1675222199999,62734593.59590,22330,1356.029,31296449.27130,0
1675222200000,23075.50,23130.10,23028.00,23127.30,3882.666,1675223999999,89646566.53310,29988,2184.269,50445845.40780,0
1675224000000,23127.40,23151.80,23101.80,23132.60,3729.642,1675225799999,86269662.68610,27580,1699.664,39318588.57770,0
1675225800000,23132.70,23149.00,23106.00,23130.00,2915.174,1675227599999,67424721.94260,22383,1481.045,34252804.53890,0
1675227600000,23130.00,23157.30,23128.20,23155.30,3294.187,1675229399999,76242429.34710,24052,1595.787,36933787.37470,0
1675229400000,23155.30,23160.40,23105.00,23113.40,3332.392,1675231199999,77073487.48040,24630,1488.587,34429296.30090,0
1675231200000,23113.40,23124.90,23062.70,23097.20,4466.971,1675232999999,103175179.63320,33089,2138.398,49392584.44210,0
1675233000000,23097.20,23119.70,23045.70,23059.90,4829.574,1675234799999,111464366.01480,36539,2035.841,46992553.28170,0
1675234800000,23060.00,23110.60,23011.50,23107.90,7478.979,1675236599999,172425010.69330,48823,4091.499,94333944.19380,0
1675236600000,23107.90,23109.30,23057.00,23071.00,3021.590,1675238399999,69744558.34010,25359,1273.137,29386213.99360,0
1675238400000,23070.90,23081.80,22933.80,22962.30,11353.748,1675240199999,261179042.16480,71008,4993.119,114874303.81580,0
1675240200000,22962.30,23007.60,22936.30,22981.10,6683.714,1675241999999,153581697.98060,49817,3569.575,82024456.35000,0
1675242000000,22981.10,23014.60,22911.30,23014.60,7857.658,1675243799999,180509708.88280,53142,4044.234,92919032.80550,0
1675243800000,23014.60,23015.40,22967.00,22992.30,3529.401,1675245599999,81133954.12380,29702,1724.009,39630358.82090,0
1675245600000,22992.30,23009.40,22970.40,22974.10,3203.580,1675247399999,73654969.32670,27355,1648.995,37914310.73890,0
1675247400000,22974.10,23004.80,22940.00,22994.00,4056.778,1675249199999,93201890.14540,32060,2099.876,48246943.56000,0
1675249200000,22994.00,23100.00,22985.30,23087.20,9189.012,1675250999999,211801846.20730,52952,5316.399,122529408.87800,0
1675251000000,23087.30,23093.90,23052.30,23076.10,4683.479,1675252799999,108069905.31670,33962,2098.437,48422608.51890,0
1675252800000,23076.10,23109.20,23063.90,23093.00,4450.776,1675254599999,102752304.06260,35488,2176.667,50252683.90350,0
1675254600000,23093.00,23093.00,23046.00,23058.40,3794.247,1675256399999,87530758.82020,29421,1599.486,36898847.01510,0
1675256400000,23058.30,23143.60,23015.10,23100.00,13660.560,1675258199999,315476112.90160,82495,6777.686,156523415.02090,0
1675258200000,23100.10,23123.10,23061.50,23082.40,4281.315,1675259999999,98865482.38500,35801,2085.617,48163415.71050,0
1675260000000,23082.50,23136.10,23076.60,23088.40,4584.696,1675261799999,105930757.10210,34145,2389.820,55217735.45060,0
1675261800000,23088.30,23142.50,23029.40,23098.00,12028.579,1675263599999,277799866.57600,80377,5944.504,137297257.94770,0
1675263600000,23098.10,23114.80,23016.40,23041.90,13002.304,1675265399999,299736927.50470,84467,6415.903,147910942.25840,0
1675265400000,23041.80,23058.20,22935.30,22975.70,15456.859,1675267199999,355353222.45110,94453,7088.401,162960805.85730,0
1675267200000,22975.60,23033.80,22944.40,23014.10,7495.443,1675268999999,172397576.46880,56653,4018.933,92445660.25370,0
1675269000000,23014.10,23015.60,22907.50,23000.80,7562.311,1675270799999,173755504.13330,56209,3599.391,82712830.81340,0
1675270800000,23000.70,23041.10,22966.80,23006.90,5386.113,1675272599999,123883103.32440,43021,2903.159,66780389.35530,0
1675272600000,23006.90,23017.40,22924.50,22989.10,6614.631,1675274399999,151990434.99990,52688,3152.211,72434980.04230,0
1675274400000,22989.20,23116.80,22940.10,23103.90,9838.752,1675276199999,226580785.26160,66378,5496.228,126581546.37190,0
1675276200000,23103.80,23131.60,23026.00,23073.20,15848.966,1675277999999,365717045.59800,104799,7680.491,177237416.55750,0
1675278000000,23073.30,23234.30,22876.50,22997.80,53247.508,1675279799999,1228309630.39840,292352,26498.365,611354111.66220,0
1675279800000,22997.80,23495.00,22747.00,23379.90,109474.644,1675281599999,2536918458.73451,609913,56205.567,1303161123.42369,0
1675281600000,23379.80,23550.00,23320.00,23549.90,38536.121,1675283399999,902750018.68480,242649,19400.797,454599420.17930,0
1675283400000,23549.90,23650.00,23480.00,23572.80,33726.505,1675285199999,795042370.16340,222662,17309.682,408077638.20450,0
1675285200000,23572.70,23799.90,23529.00,23718.90,33704.137,1675286999999,798609969.32790,211023,17692.613,419267642.55410,0
1675287000000,23718.90,23777.60,23620.60,23684.70,17161.695,1675288799999,406736661.01280,118724,8182.035,193923603.94990,0
1675288800000,23684.80,23852.40,23684.80,23730.30,14213.344,1675290599999,337658286.37898,103675,7714.846,183321555.01088,0
1675290600000,23730.30,23754.40,23655.10,23718.50,8248.550,1675292399999,195577946.13070,66847,3989.798,94608452.93850,0
1675292400000,23718.40,23789.70,23700.60,23764.60,8275.836,1675294199999,196545755.23100,63177,4170.841,99056652.90030,0
1675294200000,23764.80,23772.00,23678.00,23730.00,6192.965,1675295999999,146872938.54050,50095,3042.601,72160334.12400,0
1675296000000,23730.10,23800.00,23694.50,23732.70,11210.437,1675297799999,266193871.89240,72456,6022.973,143027621.03520,0
1675297800000,23732.60,24281.40,23730.90,24194.40,63821.948,1675299599999,1535405246.54100,357387,35954.540,864930356.25570,0
1675299600000,24194.40,24216.30,24051.70,24054.80,17995.457,1675301399999,433885578.72260,131257,8730.040,210483904.70910,0
1675301400000,24054.90,24062.90,23950.90,23958.60,14065.005,1675303199999,337501403.46350,104582,6338.589,152105372.50180,0
1675303200000,23958.60,23997.70,23866.50,23916.00,10145.893,1675304999999,242831279.46390,78443,4673.094,111857100.75910,0
1675305000000,23916.00,23925.50,23836.80,23892.90,8828.776,1675306799999,210893209.55318,65710,4513.338,107818897.32520,0
1675306800000,23892.90,23921.00,23855.10,23899.50,5479.339,1675308599999,130897635.11900,42189,2770.547,66190296.90790,0
1675308600000,23899.50,23941.50,23852.10,23852.20,5302.240,1675310399999,126758919.50610,43231,2656.408,63515983.15640,0
1675310400000,23852.10,23911.00,23843.40,23897.70,4886.962,1675312199999,116663520.74030,40227,2744.684,65521897.91190,0
1675312200000,23897.70,23912.80,23877.80,23885.90,3770.862,1675313999999,90122837.80760,31634,1919.341,45872642.77630,0
1675314000000,23885.90,23927.50,23859.00,23864.10,4010.362,1675315799999,95813280.76340,35618,1971.773,47114206.95420,0
1675315800000,23864.10,23885.40,23803.60,23809.90,5132.038,1675317599999,122375541.43380,41134,2053.774,48980438.97740,0
1675317600000,23809.90,23836.80,23660.00,23739.60,14976.268,1675319399999,355721865.44530,98781,6474.305,153796103.39730,0
1675319400000,23739.70,23807.20,23737.40,23793.90,5909.181,1675321199999,140497436.07150,48008,3059.432,72739493.07870,0
1675321200000,23793.90,23836.80,23787.00,23818.30,4751.374,1675322999999,113161029.50030,39938,2496.453,59456935.81770,0
1675323000000,23818.30,23824.90,23744.00,23787.00,5505.448,1675324799999,130901871.09570,43392,2603.866,61907385.26440,0
1675324800000,23787.00,23860.00,23773.50,23846.50,6145.216,1675326599999,146376576.35650,45763,3471.603,82695469.00410,0
1675326600000,23846.50,23852.30,23782.90,23803.70,5163.098,1675328399999,122924261.60450,38098,1766.975,42067671.27780,0
1675328400000,23803.60,23819.70,23750.40,23776.60,5217.233,1675330199999,124056649.33810,41185,2631.039,62566171.33650,0
1675330200000,23776.50,23845.90,23775.60,23839.70,3813.945,1675331999999,90814993.09720,34282,2399.829,57143588.06710,0
1675332000000,23839.80,23842.40,23795.60,23809.80,2741.077,1675333799999,65287892.01780,28068,1071.653,25524609.62720,0
1675333800000,23809.90,23809.90,23772.80,23785.10,2780.344,1675335599999,66146604.92040,26580,1196.801,28472811.61000,0
1675335600000,23785.00,23843.00,23778.40,23840.00,3770.382,1675337399999,89791296.43120,30794,2043.066,48657293.12940,0
1675337400000,23840.10,23859.60,23802.80,23827.00,4655.591,1675339199999,110964658.19490,36351,2354.028,56110160.80810,0
1675339200000,23827.00,23836.50,23795.00,23816.50,3562.340,1675340999999,84832897.67310,29295,1634.404,38923061.56990,0
1675341000000,23816.40,23822.20,23763.60,23807.50,5180.202,1675342799999,123256975.09700,39357,2583.026,61462136.41630,0
1675342800000,23807.40,23819.50,23760.20,23803.60,6110.965,1675344599999,145383807.16450,44140,2962.660,70488020.99190,0
1675344600000,23803.50,23819.70,23716.00,23773.50,10501.686,1675346399999,249523462.29640,70455,4930.472,117152949.92970,0
1675346400000,23773.50,23950.00,23761.10,23901.90,17914.156,1675348199999,427594361.05750,108210,9999.308,238675121.83130,0
1675348200000,23902.00,23941.80,23520.00,23611.80,54641.585,1675349999999,1296534530.75050,282325,24325.837,577374367.38450,0
1675350000000,23612.10,23695.00,23559.20,23680.50,27121.429,1675351799999,640923876.48650,179676,13863.259,327621121.21460,0
