open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,52.00,52.28,51.63,51.79,18263.210,1675211399999,949375.41550,4501,9064.479,471265.54426,0
1675211400000,51.81,52.40,51.67,52.13,9988.776,1675213199999,519972.88102,2805,5348.146,278384.08185,0
1675213200000,52.14,52.49,52.05,52.08,10251.023,1675214999999,535684.23552,2593,5685.111,297105.92325,0
1675215000000,52.09,52.69,52.02,52.48,7637.049,1675216799999,400006.36385,2231,3855.084,201857.45213,0
1675216800000,52.48,52.53,52.17,52.34,7382.293,1675218599999,385967.05626,1973,3795.344,198447.76494,0
1675218600000,52.34,52.59,52.28,52.58,5980.406,1675220399999,313678.07641,1800,3310.184,173648.39334,0
1675220400000,52.57,52.66,52.29,52.31,6740.217,1675222199999,354101.57661,1779,3017.881,158591.56778,0
1675222200000,52.31,52.66,52.23,52.63,4402.117,1675223999999,231039.48355,1314,2407.432,126355.81962,0
1675224000000,52.62,52.79,52.55,52.75,7285.124,1675225799999,383641.50104,1837,3637.127,191568.25076,0
1675225800000,52.76,52.82,52.49,52.63,5707.052,1675227599999,300442.25322,1666,2644.653,139245.92884,0
1675227600000,52.62,52.70,52.48,52.68,5230.516,1675229399999,275058.40201,1591,3122.727,164216.06951,0
1675229400000,52.67,52.74,52.26,52.30,4154.045,1675231199999,218015.74303,1466,1705.825,89462.07292,0
1675231200000,52.29,52.35,51.75,51.90,8178.575,1675232999999,425489.87853,2440,3721.857,193646.62881,0
1675233000000,51.92,52.04,51.33,51.46,9852.225,1675234799999,509467.16307,2614,4163.219,215366.19507,0
1675234800000,51.45,51.85,51.14,51.83,9529.461,1675236599999,490178.84243,2653,4740.482,244057.15474,0
1675236600000,51.84,51.90,51.58,51.68,3843.641,1675238399999,198873.93988,1171,1682.004,87007.92141,0
1675238400000,51.68,51.78,51.10,51.16,12387.109,1675240199999,636719.27291,3076,5754.854,295797.81240,0
1675240200000,51.18,51.55,51.05,51.21,10208.341,1675241999999,523541.85749,2498,4526.459,232130.73293,0
1675242000000,51.19,51.40,50.74,51.39,14034.896,1675243799999,716454.21336,3136,7062.524,360651.48561,0
1675243800000,51.39,51.44,51.18,51.39,4901.905,1675245599999,251629.85883,1535,2485.029,127554.80128,0
1675245600000,51.39,51.71,51.31,51.50,8319.608,1675247399999,428605.58086,2198,4882.393,251538.59188,0
1675247400000,51.51,51.81,51.37,51.74,7641.981,1675249199999,394393.18377,1862,4026.448,207756.37087,0
1675249200000,51.74,52.13,51.60,52.02,7122.426,1675250999999,369562.36019,1836,4380.856,227297.97991,0
1675251000000,52.04,52.07,51.81,51.86,6151.200,1675252799999,319249.41117,1450,2854.898,148148.98381,0
1675252800000,51.86,52.04,51.78,52.02,4776.601,1675254599999,247909.28964,1521,2468.397,128114.28780,0
1675254600000,52.00,52.13,51.74,51.85,4084.511,1675256399999,212129.17543,1202,1591.995,82732.18028,0
