open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,1.019,1.027,1.012,1.020,5400257.0,1675211399999,5505172.3416,6719,2634890.4,2686154.7771,0
1675211400000,1.020,1.029,1.016,1.024,4169394.4,1675213199999,4263452.7851,4378,2171004.4,2219817.1264,0
1675213200000,1.023,1.027,1.017,1.018,2027729.6,1675214999999,2074335.3068,2566,1039821.0,1063750.6824,0
1675215000000,1.019,1.033,1.017,1.028,2900635.3,1675216799999,2974034.5027,3335,1526600.9,1565692.8935,0
1675216800000,1.027,1.029,1.024,1.027,1553704.8,1675218599999,1594190.5742,2086,788237.6,808780.4652,0
1675218600000,1.026,1.030,1.024,1.025,1475417.7,1675220399999,1513871.8052,2144,724835.1,743699.5370,0
1675220400000,1.025,1.027,1.013,1.018,2032143.5,1675222199999,2074438.4329,2649,707792.2,723123.1797,0
1675222200000,1.018,1.026,1.013,1.025,1185881.1,1675223999999,1208708.0619,1648,684480.6,698038.1377,0
1675224000000,1.026,1.028,1.022,1.027,1357104.0,1675225799999,1391602.3531,1982,609108.5,624516.4653,0
1675225800000,1.027,1.029,1.021,1.022,1970284.6,1675227599999,2018209.8248,2235,920954.8,943894.6954,0
1675227600000,1.022,1.023,1.018,1.022,1373636.3,1675229399999,1401803.0219,1775,694349.3,708666.2714,0
1675229400000,1.021,1.022,1.013,1.015,1100814.6,1675231199999,1119561.6197,1657,396531.4,403264.1209,0
1675231200000,1.014,1.016,1.004,1.006,2349437.6,1675232999999,2371117.3138,3164,1049402.1,1059013.3818,0
1675233000000,1.007,1.009,0.997,0.999,3675405.3,1675234799999,3686728.2354,4263,1691642.5,1696936.1751,0
1675234800000,0.998,1.008,0.995,1.007,3296938.6,1675236599999,3299013.4427,3384,1603571.7,1605385.4001,0
1675236600000,1.007,1.009,1.002,1.005,1529838.3,1675238399999,1538821.6307,1849,718000.2,722295.3238,0
1675238400000,1.006,1.006,0.990,0.993,3968822.5,1675240199999,3961085.9905,4726,1869705.1,1866596.1330,0
1675240200000,0.992,1.001,0.990,0.997,2753545.2,1675241999999,2743923.3054,3012,1288242.9,1283680.5139,0
1675242000000,0.996,0.997,0.987,0.993,3517463.9,1675243799999,3494191.5377,4251,1452707.8,1443073.8480,0
1675243800000,0.994,0.994,0.986,0.989,3230673.7,1675245599999,3195813.8893,3270,1620821.3,1603483.0470,0
1675245600000,0.989,0.993,0.985,0.987,2358964.9,1675247399999,2332783.8779,3468,1190105.7,1177097.8365,0
1675247400000,0.987,0.991,0.980,0.988,2241824.2,1675249199999,2210096.3248,2879,1151710.2,1134840.9951,0
1675249200000,0.987,0.998,0.986,0.995,1952754.5,1675250999999,1938640.4349,2524,1172915.1,1164474.0987,0
1675251000000,0.995,0.999,0.992,0.996,1879993.2,1675252799999,1872439.5227,2208,892146.9,888608.4774,0
1675252800000,0.996,0.998,0.993,0.996,1635215.2,1675254599999,1627514.1861,2095,859908.2,855888.8509,0
