open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,0.0947,0.0954,0.0940,0.0945,3502992,1675211399999,331984.4157,2061,1872987,177501.2028,0
1675211400000,0.0945,0.0954,0.0943,0.0951,2429122,1675213199999,230568.2810,1334,1147059,108923.2094,0
1675213200000,0.0950,0.0954,0.0946,0.0947,1475833,1675214999999,140275.5195,1185,708739,67360.1070,0
1675215000000,0.0947,0.0958,0.0945,0.0956,1616312,1675216799999,153961.9188,1142,988306,94130.3206,0
1675216800000,0.0955,0.0956,0.0951,0.0956,1289113,1675218599999,122979.8585,912,562168,53634.0368,0
1675218600000,0.0955,0.0961,0.0955,0.0960,1669673,1675220399999,159991.8027,1033,887694,85081.8579,0
1675220400000,0.0959,0.0963,0.0955,0.0957,1480387,1675222199999,142087.5102,964,585071,56198.0341,0
1675222200000,0.0957,0.0965,0.0955,0.0964,1985050,1675223999999,190782.9549,1368,1335208,128332.1032,0
1675224000000,0.0963,0.0967,0.0960,0.0964,1392045,1675225799999,134279.5798,1145,611375,58985.2655,0
1675225800000,0.0965,0.0966,0.0961,0.0961,1652333,1675227599999,159151.0740,1264,805646,77620.2977,0
1675227600000,0.0961,0.0965,0.0958,0.0964,1023271,1675229399999,98335.7622,786,635142,61041.5723,0
1675229400000,0.0964,0.0965,0.0958,0.0959,1019980,1675231199999,97973.5150,715,479522,46063.2104,0
1675231200000,0.0959,0.0963,0.0948,0.0952,3031918,1675232999999,289664.4545,1658,1348699,128882.4165,0
1675233000000,0.0953,0.0956,0.0942,0.0944,2547614,1675234799999,242115.1578,1449,1051902,100087.1762,0
1675234800000,0.0943,0.0953,0.0939,0.0953,2566442,1675236599999,242805.1379,1486,1417460,134158.1512,0
1675236600000,0.0953,0.0953,0.0946,0.0947,751404,1675238399999,71344.4668,605,269764,25610.2706,0
1675238400000,0.0948,0.0950,0.0932,0.0935,2967928,1675240199999,279690.0040,1748,1361272,128331.2639,0
1675240200000,0.0935,0.0940,0.0932,0.0936,3095336,1675241999999,289822.4778,1482,1466085,137322.6898,0
1675242000000,0.0936,0.0940,0.0926,0.0940,2375214,1675243799999,221539.4087,1366,1171981,109384.7697,0
1675243800000,0.0940,0.0940,0.0934,0.0935,1229441,1675245599999,115146.3191,799,450895,42236.0697,0
1675245600000,0.0935,0.0942,0.0935,0.0937,2037645,1675247399999,191290.0035,1163,1007979,94636.9571,0
1675247400000,0.0937,0.0939,0.0931,0.0938,974841,1675249199999,91169.0035,637,523582,48943.6159,0
1675249200000,0.0937,0.0946,0.0935,0.0946,1376290,1675250999999,129565.7187,869,787940,74197.1707,0
1675251000000,0.0945,0.0950,0.0944,0.0947,1661329,1675252799999,157251.8274,1069,778850,73732.3847,0
1675252800000,0.0946,0.0947,0.0939,0.0943,2745136,1675254599999,258539.2288,1661,1193015,112334.3251,0
1675254600000,0.0943,0.0943,0.0935,0.0936,1811245,1675256399999,170113.0924,899,903972,84928.7090,0
1675256400000,0.0937,0.0942,0.0928,0.0940,2983639,1675258199999,279316.4939,1537,1570982,147046.2486,0
1675258200000,0.0939,0.0941,0.0934,0.0935,1492315,1675259999999,139854.5842,1002,666231,62448.1653,0
1675260000000,0.0935,0.0936,0.0930,0.0931,2100634,1675261799999,195899.6697,1473,882886,82346.8510,0
1675261800000,0.0930,0.0931,0.0914,0.0921,6809851,1675263599999,627985.5091,3329,2952708,272526.5574,0
1675263600000,0.0922,0.0923,0.0905,0.0913,6234697,1675265399999,570645.9844,2976,3110281,284787.0642,0
1675265400000,0.0913,0.0916,0.0897,0.0904,6158967,1675267199999,556907.3413,3157,2653455,240038.1120,0
1675267200000,0.0904,0.0914,0.0903,0.0909,3667708,1675268999999,333403.7731,1872,1725767,156842.6221,0
1675269000000,0.0908,0.0912,0.0898,0.0908,3388711,1675270799999,306873.6401,1809,1756951,159165.2528,0
1675270800000,0.0908,0.0910,0.0901,0.0907,2279815,1675272599999,206404.0355,1298,1145554,103711.5500,0
1675272600000,0.0907,0.0907,0.0894,0.0901,2468104,1675274399999,222226.6834,1600,1195069,107600.8726,0
1675274400000,0.0900,0.0908,0.0892,0.0908,2652166,1675276199999,238169.8996,1603,1325370,119085.4726,0
1675276200000,0.0908,0.0909,0.0902,0.0906,2588410,1675277999999,234378.4867,1469,1310227,118643.8735,0
1675278000000,0.0907,0.0926,0.0903,0.0916,10065649,1675279799999,923298.8511,4140,5420356,497264.6961,0
1675279800000,0.0915,0.0951,0.0904,0.0943,13500042,1675281599999,1257458.8416,5569,6142024,571291.0543,0
1675281600000,0.0943,0.0959,0.0943,0.0959,8333070,1675283399999,793000.8641,3624,3688462,350962.5530,0
1675283400000,0.0960,0.0970,0.0958,0.0969,5609120,1675285199999,540145.4811,2701,2816512,271317.8573,0
1675285200000,0.0970,0.0988,0.0970,0.0985,7051737,1675286999999,691105.8827,3675,3100594,303874.0244,0
1675287000000,0.0985,0.0995,0.0985,0.0994,4836837,1675288799999,478826.4827,3047,2369224,234548.0113,0
1675288800000,0.0993,0.1011,0.0991,0.1008,4833203,1675290599999,484460.3010,2306,2383205,238908.1602,0
1675290600000,0.1007,0.1019,0.1007,0.1016,4857603,1675292399999,492810.6976,2329,2455369,249158.4185,0
1675292400000,0.1016,0.1031,0.1016,0.1030,3294343,1675294199999,336823.5131,1836,1787750,182852.1566,0
1675294200000,0.1030,0.1034,0.1025,0.1030,4059224,1675295999999,417638.0096,2087,2226583,229110.4441,0
1675296000000,0.1030,0.1047,0.1017,0.1022,12622282,1675297799999,1299347.4482,5116,5229030,538838.9691,0
1675297800000,0.1022,0.1040,0.1021,0.1039,7482291,1675299599999,769595.7876,3142,4101054,421976.3553,0
1675299600000,0.1040,0.1053,0.1033,0.1050,7769178,1675301399999,811165.5943,2968,4157420,434270.1244,0
1675301400000,0.1049,0.1051,0.1030,0.1031,2649892,1675303199999,274778.1738,1319,1077355,111634.9775,0
1675303200000,0.1031,0.1037,0.1024,0.1025,2395016,1675304999999,246780.0626,1453,1172385,120797.6241,0
1675305000000,0.1025,0.1030,0.1020,0.1025,1936147,1675306799999,198508.5315,1265,1010772,103645.5705,0
1675306800000,0.1025,0.1034,0.1024,0.1030,1304332,1675308599999,134280.1828,962,738783,76042.0103,0
1675308600000,0.1030,0.1039,0.1028,0.1034,1226709,1675310399999,126696.0113,979,710032,73320.6471,0
1675310400000,0.1034,0.1043,0.1033,0.1039,1933257,1675312199999,200799.8836,1346,1033258,107311.3117,0
1675312200000,0.1040,0.1048,0.1039,0.1047,1795476,1675313999999,187387.5521,1372,1011818,105623.0267,0
1675314000000,0.1046,0.1050,0.1042,0.1043,2138238,1675315799999,223676.8464,1550,1015933,106308.7740,0
1675315800000,0.1043,0.1050,0.1041,0.1043,1644595,1675317599999,171968.6096,1323,840241,87895.4961,0
1675317600000,0.1042,0.1049,0.1032,0.1036,2864876,1675319399999,297786.5064,1859,1363607,141782.8125,0
1675319400000,0.1035,0.1040,0.1030,0.1038,4152119,1675321199999,429773.8922,1557,1416725,146684.3204,0
1675321200000,0.1038,0.1045,0.1038,0.1039,1878100,1675322999999,195662.6005,1172,876498,91315.1047,0
1675323000000,0.1039,0.1042,0.1028,0.1035,1981477,1675324799999,204882.6961,1172,995886,103006.0862,0
1675324800000,0.1035,0.1044,0.1031,0.1042,1541467,1675326599999,159841.1708,1239,964305,100021.1039,0
1675326600000,0.1042,0.1043,0.1037,0.1041,885669,1675328399999,92018.4730,596,434734,45166.9710,0
1675328400000,0.1040,0.1040,0.1033,0.1034,1030954,1675330199999,106805.0451,743,451218,46737.8092,0
