open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,0.79600,0.80240,0.79000,0.80170,3449419,1675211399999,2748883.09840,10901,1719226,1370601.67940,0
1675211400000,0.80160,0.82000,0.79600,0.80550,5088184,1675213199999,4113104.23920,15205,2358451,1907070.54910,0
1675213200000,0.80550,0.80900,0.79580,0.79680,2063262,1675214999999,1656278.19570,7290,902450,724644.84620,0
1675215000000,0.79680,0.80620,0.79640,0.80580,1138982,1675216799999,912813.23760,4104,634539,508626.37290,0
1675216800000,0.80570,0.80800,0.80000,0.80250,1130239,1675218599999,907689.57180,4046,495076,397726.15640,0
1675218600000,0.80250,0.80870,0.80240,0.80730,979433,1675220399999,788913.46020,3557,525268,423140.41770,0
1675220400000,0.80740,0.80920,0.80140,0.80210,890225,1675222199999,717665.94890,3526,347671,280392.95630,0
1675222200000,0.80230,0.80550,0.79990,0.80390,605045,1675223999999,485997.20620,2710,237931,191172.50930,0
1675224000000,0.80400,0.80720,0.80160,0.80520,681020,1675225799999,547820.56280,2996,323640,260347.31390,0
1675225800000,0.80510,0.80650,0.79960,0.80150,700958,1675227599999,562262.95050,2795,291969,234235.04290,0
1675227600000,0.80130,0.80440,0.79970,0.80250,791037,1675229399999,634120.31470,3064,382942,306962.46540,0
1675229400000,0.80250,0.80350,0.79540,0.79710,1152824,1675231199999,920850.07950,3839,454848,363444.38450,0
1675231200000,0.79660,0.79990,0.79010,0.79290,1589614,1675232999999,1264724.75260,5550,812791,647094.84570,0
1675233000000,0.79310,0.79450,0.78100,0.78400,2265879,1675234799999,1783490.79120,6894,901526,709820.48000,0
1675234800000,0.78400,0.79250,0.78060,0.79170,1937268,1675236599999,1524761.98720,6025,949264,747240.68930,0
1675236600000,0.79180,0.79200,0.78550,0.78840,1120534,1675238399999,884005.54790,3704,500699,395124.16010,0
1675238400000,0.78830,0.78960,0.77500,0.77590,3185306,1675240199999,2492590.14790,7842,1338212,1047853.22930,0
1675240200000,0.77600,0.78070,0.77120,0.77340,1788015,1675241999999,1387473.17060,5873,892106,692595.84010,0
1675242000000,0.77300,0.78270,0.76620,0.78270,1908298,1675243799999,1476482.84820,6321,1056776,818595.93270,0
1675243800000,0.78240,0.78310,0.77630,0.78040,868825,1675245599999,677296.32350,3211,411143,320504.95260,0
1675245600000,0.78040,0.78510,0.77820,0.78250,1246493,1675247399999,975081.17000,4021,623298,487575.57980,0
1675247400000,0.78250,0.78380,0.77730,0.78120,788132,1675249199999,615441.21350,2876,357478,279125.33430,0
1675249200000,0.78110,0.78750,0.78070,0.78640,987393,1675250999999,775525.86980,3559,478347,375675.56180,0
