open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,6.949,6.982,6.922,6.929,849823.13,1675211399999,5907484.45316,10601,409600.93,2848052.94444,0
1675211400000,6.930,6.968,6.918,6.948,373566.28,1675213199999,2595388.48142,5722,202989.94,1410171.25846,0
1675213200000,6.947,6.966,6.921,6.924,311506.52,1675214999999,2163964.43052,4583,136774.80,950198.10222,0
1675215000000,6.925,6.985,6.916,6.968,385625.83,1675216799999,2683811.04474,5303,210135.38,1462519.08207,0
1675216800000,6.968,6.970,6.938,6.940,228396.93,1675218599999,1587565.40954,3586,93361.11,648899.62035,0
1675218600000,6.939,6.962,6.935,6.960,265590.74,1675220399999,1845437.10227,3639,141070.94,980188.98607,0
1675220400000,6.961,6.965,6.926,6.933,278261.92,1675222199999,1932257.86178,4016,120146.72,834400.79931,0
1675222200000,6.932,6.951,6.918,6.945,254435.22,1675223999999,1766033.06756,3673,120020.10,833200.80074,0
1675224000000,6.945,6.961,6.932,6.950,231765.91,1675225799999,1611061.32462,3481,102764.75,714308.46018,0
1675225800000,6.951,6.955,6.924,6.937,224156.05,1675227599999,1555240.10959,3478,107098.13,743156.21741,0
1675227600000,6.937,6.958,6.929,6.958,255946.40,1675229399999,1777120.90426,3619,148130.74,1028680.88179,0
1675229400000,6.958,6.960,6.902,6.908,341971.29,1675231199999,2368549.61562,4595,131918.42,913937.80740,0
1675231200000,6.907,6.913,6.856,6.883,567816.76,1675232999999,3907983.27158,8376,266137.58,1831795.01489,0
1675233000000,6.883,6.888,6.815,6.832,793742.86,1675234799999,5439104.30626,10512,329295.53,2257109.27384,0
1675234800000,6.833,6.877,6.790,6.876,653243.01,1675236599999,4465529.38201,9655,324939.25,2222329.39395,0
1675236600000,6.877,6.877,6.844,6.859,242799.53,1675238399999,1665705.09322,3903,98615.65,676432.63324,0
1675238400000,6.859,6.863,6.770,6.790,812369.04,1675240199999,5533413.69670,10856,366965.83,2500834.60492,0
1675240200000,6.790,6.833,6.776,6.818,531321.84,1675241999999,3618477.28121,6572,296501.01,2019219.14176,0
1675242000000,6.818,6.835,6.750,6.834,749255.85,1675243799999,5087322.54445,9805,347711.25,2362316.06011,0
1675243800000,6.834,6.835,6.812,6.823,287517.71,1675245599999,1961901.75066,3990,140412.53,958189.67716,0
1675245600000,6.824,6.855,6.813,6.838,451366.09,1675247399999,3086827.44242,5862,258022.63,1764912.66146,0
1675247400000,6.838,6.850,6.800,6.832,348688.57,1675249199999,2380193.40025,4600,155929.99,1064359.93802,0
1675249200000,6.832,6.862,6.828,6.860,413441.73,1675250999999,2831073.93784,5154,246344.89,1686948.24999,0
1675251000000,6.861,6.861,6.835,6.844,318280.01,1675252799999,2178647.36603,4167,145498.67,995970.97886,0
1675252800000,6.843,6.850,6.832,6.845,345887.54,1675254599999,2366445.12943,4511,165927.30,1135288.90048,0
1675254600000,6.845,6.851,6.821,6.835,410423.69,1675256399999,2805875.22860,5095,180954.13,1237443.03103,0
1675256400000,6.834,6.871,6.780,6.855,1043075.70,1675258199999,7127575.39025,11562,514373.70,3514970.82585,0
1675258200000,6.856,6.871,6.839,6.857,479897.39,1675259999999,3291065.70249,5790,255132.38,1749825.93706,0
1675260000000,6.857,6.890,6.846,6.867,379880.06,1675261799999,2609879.47491,5883,189355.04,1300832.48840,0
1675261800000,6.867,6.908,6.836,6.882,714694.12,1675263599999,4914641.67014,10821,349492.64,2403069.67854,0
1675263600000,6.882,6.899,6.820,6.844,941222.73,1675265399999,6452353.21477,13065,396107.65,2716606.26358,0
1675265400000,6.843,6.860,6.714,6.760,1658870.77,1675267199999,11243738.21818,21796,722849.91,4901122.12580,0
1675267200000,6.760,6.796,6.730,6.769,603955.92,1675268999999,4086999.46015,9304,280095.94,1895582.70899,0
1675269000000,6.768,6.782,6.696,6.750,779961.76,1675270799999,5257377.23891,10944,338731.35,2284460.80779,0
1675270800000,6.750,6.778,6.715,6.760,546952.79,1675272599999,3689416.54583,7691,272903.36,1840895.62693,0
1675272600000,6.762,6.764,6.662,6.722,899758.23,1675274399999,6037765.14447,12697,384986.93,2584636.05721,0
1675274400000,6.723,6.774,6.676,6.768,782250.06,1675276199999,5255314.33595,10365,388438.06,2610396.90592,0
1675276200000,6.768,6.806,6.736,6.788,1021130.15,1675277999999,6913166.89986,13783,532191.10,3603518.10659,0
1675278000000,6.788,6.883,6.715,6.797,2832660.67,1675279799999,19336710.83781,40814,1427167.89,9743738.62854,0
1675279800000,6.800,7.075,6.722,7.004,4776590.59,1675281599999,33070272.80657,67497,2434207.54,16855352.56051,0
1675281600000,7.003,7.104,7.003,7.101,2214449.78,1675283399999,15628556.01673,31393,1102556.25,7781704.98058,0
1675283400000,7.102,7.146,7.096,7.140,1800926.75,1675285199999,12821742.78297,22967,887844.86,6322420.17585,0
1675285200000,7.140,7.204,7.140,7.179,1901563.07,1675286999999,13652284.76062,22874,923337.23,6629955.45866,0
1675287000000,7.180,7.227,7.145,7.227,2218105.01,1675288799999,15953692.54252,24063,1253480.57,9019001.53920,0
1675288800000,7.227,7.278,7.226,7.251,2160127.19,1675290599999,15667045.09521,24172,1187050.49,8610899.08424,0
1675290600000,7.252,7.266,7.220,7.251,654100.86,1675292399999,4738375.23689,8618,280173.53,2029647.71182,0
1675292400000,7.253,7.283,7.236,7.262,786629.44,1675294199999,5709644.23402,9547,362278.02,2630062.85634,0
1675294200000,7.261,7.269,7.193,7.221,831332.03,1675295999999,6000478.32744,9057,313947.24,2266383.33820,0
1675296000000,7.221,7.265,7.204,7.217,1212171.85,1675297799999,8766418.22104,13713,591258.52,4276185.93223,0
1675297800000,7.216,7.340,7.215,7.320,2106753.45,1675299599999,15379514.15565,25808,1030511.23,7521465.08807,0
1675299600000,7.319,7.324,7.266,7.306,803857.92,1675301399999,5866028.88505,10306,379073.45,2766138.83753,0
1675301400000,7.305,7.310,7.270,7.286,583007.62,1675303199999,4249813.98527,7665,284226.11,2072176.14177,0
1675303200000,7.285,7.300,7.262,7.283,428995.75,1675304999999,3124812.01165,6347,213304.08,1553658.44633,0
1675305000000,7.284,7.290,7.250,7.282,392773.08,1675306799999,2856447.23690,6355,187729.37,1365452.43707,0
1675306800000,7.282,7.313,7.276,7.310,547398.82,1675308599999,3992468.24617,7216,277690.02,2025562.41497,0
1675308600000,7.310,7.348,7.300,7.312,677097.75,1675310399999,4959623.43529,10043,332392.53,2435068.73378,0
1675310400000,7.314,7.347,7.308,7.338,476901.90,1675312199999,3495856.03841,6540,230452.42,1689339.04559,0
1675312200000,7.338,7.359,7.330,7.337,453837.24,1675313999999,3332225.29781,6393,224333.16,1647168.72979,0
1675314000000,7.338,7.360,7.331,7.337,437820.97,1675315799999,3215479.11647,5974,177395.64,1302914.68562,0
1675315800000,7.337,7.361,7.316,7.317,447105.74,1675317599999,3281059.23611,6115,200227.56,1469436.38203,0
1675317600000,7.316,7.335,7.250,7.269,835302.33,1675319399999,6094695.66111,10462,363905.45,2656188.79410,0
1675319400000,7.269,7.285,7.260,7.264,434754.68,1675321199999,3161146.13671,5569,205015.52,1490853.44241,0
1675321200000,7.265,7.290,7.265,7.282,372006.06,1675322999999,2708581.67774,4515,197860.33,1440519.53454,0
1675323000000,7.282,7.285,7.224,7.241,524438.97,1675324799999,3799313.48323,6579,252024.68,1825860.64466,0
1675324800000,7.242,7.288,7.232,7.281,496696.45,1675326599999,3605157.71905,6843,241870.85,1755630.10637,0
1675326600000,7.281,7.288,7.259,7.271,233967.98,1675328399999,1701117.73704,3689,108139.10,786261.54272,0
1675328400000,7.271,7.276,7.244,7.260,329507.87,1675330199999,2392522.29485,4740,142231.15,1032948.72579,0
1675330200000,7.261,7.294,7.260,7.294,392115.73,1675331999999,2855067.80373,5039,219726.66,1599902.60651,0
1675332000000,7.293,7.303,7.278,7.282,345165.20,1675333799999,2516030.42610,4979,154750.40,1128212.67571,0
1675333800000,7.281,7.283,7.258,7.275,224834.35,1675335599999,1634864.94513,3700,106263.24,772743.28369,0
1675335600000,7.275,7.303,7.263,7.301,320513.55,1675337399999,2336027.96680,4905,170987.29,1246312.41033,0
1675337400000,7.301,7.311,7.280,7.298,299704.02,1675339199999,2187232.34051,4551,145696.54,1063427.87715,0
1675339200000,7.298,7.311,7.286,7.297,361606.01,1675340999999,2640020.25062,5346,182683.31,1333925.22767,0
1675341000000,7.296,7.327,7.278,7.324,421740.47,1675342799999,3080374.17862,6223,221168.70,1615773.30299,0
1675342800000,7.323,7.324,7.267,7.298,649117.67,1675344599999,4733087.58675,8465,286096.92,2085725.74344,0
1675344600000,7.299,7.305,7.243,7.272,647740.72,1675346399999,4705594.27232,8490,296248.16,2152360.56844,0
1675346400000,7.273,7.325,7.265,7.316,586475.88,1675348199999,4281058.16930,8036,309790.58,2261509.28964,0
1675348200000,7.317,7.336,7.164,7.196,2362445.09,1675349999999,17122227.71862,26777,1021972.84,7410846.19216,0
1675350000000,7.197,7.242,7.173,7.240,1052382.80,1675351799999,7587528.69229,13879,514382.10,3709154.76863,0
1675351800000,7.241,7.312,7.237,7.298,759419.60,1675353599999,5528928.96163,9953,384792.73,2801853.05026,0
1675353600000,7.298,7.360,7.287,7.354,1258603.80,1675355399999,9216823.28759,14268,604407.04,4426661.37375,0
1675355400000,7.354,7.371,7.312,7.323,890404.49,1675357199999,6533347.51076,10746,419274.86,3077611.80974,0
1675357200000,7.323,7.355,7.314,7.341,649140.82,1675358999999,4760952.17614,7878,267965.07,1965900.15058,0
1675359000000,7.341,7.411,7.340,7.395,1180923.15,1675360799999,8724024.10414,15167,661406.87,4886314.93966,0
1675360800000,7.394,7.495,7.389,7.431,2127998.94,1675362599999,15851138.94608,24324,1131075.85,8425055.48974,0
1675362600000,7.432,7.468,7.417,7.450,935689.08,1675364399999,6963293.43030,10087,501402.19,3731477.38607,0
1675364400000,7.450,7.458,7.280,7.327,1631299.02,1675366199999,12012165.65074,19060,656511.04,4838762.88556,0
1675366200000,7.327,7.338,7.266,7.305,1137130.09,1675367999999,8301753.47329,13381,562318.99,4106654.16231,0
1675368000000,7.306,7.330,7.281,7.312,468645.68,1675369799999,3424159.15949,6996,231727.90,1693192.42132,0
1675369800000,7.311,7.349,7.301,7.349,424263.07,1675371599999,3106561.70223,5969,218894.24,1603326.91375,0
1675371600000,7.349,7.375,7.267,7.280,1073677.08,1675373399999,7855326.82076,12466,513444.41,3757443.28365,0
1675373400000,7.280,7.280,7.038,7.071,2639798.27,1675375199999,18952380.36956,31577,1088977.57,7828320.16901,0
1675375200000,7.070,7.166,7.033,7.146,1490411.20,1675376999999,10602135.24030,20632,806324.51,5735691.19513,0
1675377000000,7.145,7.175,7.141,7.152,368796.53,1675378799999,2639225.16410,5903,176462.50,1262814.81624,0
1675378800000,7.151,7.174,7.106,7.108,602135.64,1675380599999,4299573.78691,8103,253300.29,1809050.63472,0
1675380600000,7.108,7.153,7.083,7.106,622082.59,1675382399999,4424572.10717,8112,319433.93,2271870.81809,0
1675382400000,7.107,7.162,7.103,7.152,712195.62,1675384199999,5085386.81265,9025,378514.51,2702762.65006,0
1675384200000,7.151,7.161,7.072,7.150,877550.64,1675385999999,6252905.61852,10415,455523.23,3244963.64935,0
1675386000000,7.151,7.174,7.124,7.158,454793.70,1675387799999,3251351.16996,6566,199808.96,1428672.02758,0
1675387800000,7.157,7.164,7.077,7.085,1698680.28,1675389599999,12079036.70613,16959,593614.84,4223764.04834,0
1675389600000,7.086,7.096,7.033,7.049,1290365.27,1675391399999,9134125.91454,15778,425096.76,3008814.65478,0
1675391400000,7.049,7.074,7.014,7.056,690672.64,1675393199999,4865160.03494,9539,342706.24,2414287.09921,0
1675393200000,7.056,7.075,7.025,7.055,503182.25,1675394999999,3548757.49613,7128,270012.34,1904357.13810,0
1675395000000,7.056,7.095,7.047,7.093,426824.32,1675396799999,3021271.65191,6569,236650.18,1675182.62773,0
1675396800000,7.093,7.107,7.077,7.101,288533.26,1675398599999,2046539.66511,4676,124483.88,883134.44794,0
1675398600000,7.101,7.129,7.098,7.107,322246.18,1675400399999,2292236.45571,4565,174683.85,1242682.21097,0
1675400400000,7.106,7.127,7.100,7.107,282161.99,1675402199999,2008120.67340,4126,148116.46,1054208.44368,0
1675402200000,7.106,7.138,7.105,7.135,179719.88,1675403999999,1280749.54206,3581,97032.64,691503.95254,0
1675404000000,7.136,7.149,7.111,7.121,279572.92,1675405799999,1994087.67095,4857,129013.95,920368.84442,0
1675405800000,7.122,7.138,7.103,7.114,269617.13,1675407599999,1919956.43899,3713,118145.80,841417.70357,0
1675407600000,7.113,7.151,7.092,7.096,424134.96,1675409399999,3020850.27921,6077,204121.44,1455180.92263,0
1675409400000,7.095,7.135,7.080,7.116,487063.37,1675411199999,3460184.72689,6622,249893.74,1775670.18822,0
1675411200000,7.116,7.122,7.075,7.114,442160.75,1675412999999,3139404.04342,6645,201183.47,1428320.85570,0
1675413000000,7.114,7.164,7.112,7.151,374947.03,1675414799999,2675686.35217,5700,213629.19,1524939.30272,0
1675414800000,7.151,7.189,7.150,7.171,479550.61,1675416599999,3439777.38258,7724,227963.20,1635064.68921,0
1675416600000,7.170,7.189,7.161,7.181,356832.38,1675418399999,2560876.30501,4864,159474.71,1144727.64049,0
1675418400000,7.182,7.205,7.162,7.168,617029.73,1675420199999,4433364.73547,6765,262596.87,1887181.71834,0
1675420200000,7.168,7.231,7.167,7.206,684843.14,1675421999999,4937856.29789,8118,331232.28,2388055.40523,0
1675422000000,7.207,7.211,7.168,7.193,496163.07,1675423799999,3567299.71433,6517,208283.82,1497486.07256,0
1675423800000,7.192,7.229,7.189,7.219,352207.41,1675425599999,2539446.99504,5273,169689.40,1223351.42262,0
1675425600000,7.220,7.243,7.203,7.219,503416.03,1675427399999,3636047.66004,6943,268173.71,1937147.51138,0
1675427400000,7.220,7.240,7.210,7.211,432475.83,1675429199999,3124413.99808,5512,199300.30,1439972.74966,0
1675429200000,7.211,7.225,7.170,7.196,844627.13,1675430999999,6078522.99762,9524,349449.76,2515004.02108,0
1675431000000,7.195,7.197,7.070,7.147,2476569.71,1675432799999,17679114.08046,33525,1144816.57,8175395.59997,0
1675432800000,7.147,7.168,7.103,7.142,770461.29,1675434599999,5502603.29377,10487,371623.13,2655025.41811,0
1675434600000,7.141,7.292,7.134,7.264,1632380.62,1675436399999,11810655.99802,23718,876834.54,6344737.76317,0
1675436400000,7.265,7.326,7.215,7.300,1980308.34,1675438199999,14413823.92780,24964,1023685.23,7454021.38339,0
1675438200000,7.299,7.345,7.278,7.294,978240.05,1675439999999,7152591.89245,13040,517076.06,3781994.72331,0
1675440000000,7.293,7.320,7.271,7.312,566484.67,1675441799999,4134931.15322,8313,251734.22,1837419.74519,0
1675441800000,7.311,7.335,7.261,7.268,798222.54,1675443599999,5822305.56754,9365,336224.82,2453629.62824,0
1675443600000,7.268,7.302,7.262,7.301,501507.81,1675445399999,3651293.89878,7123,240617.89,1752193.35806,0
1675445400000,7.300,7.328,7.274,7.278,621757.89,1675447199999,4541228.25089,7065,338000.94,2468770.41780,0
1675447200000,7.278,7.287,7.227,7.246,1011690.30,1675448999999,7336055.94019,12058,448380.99,3251974.35432,0
1675449000000,7.245,7.269,7.226,7.260,544020.77,1675450799999,3940905.82592,6723,257815.39,1867793.21171,0
1675450800000,7.260,7.271,7.221,7.239,404996.36,1675452599999,2934785.01360,6350,173383.94,1256744.12983,0
1675452600000,7.240,7.263,7.212,7.219,461680.56,1675454399999,3343027.39250,6195,234405.31,1698152.85784,0
1675454400000,7.220,7.249,7.180,7.229,665448.46,1675456199999,4798689.36224,9153,297886.56,2148466.15882,0
1675456200000,7.230,7.252,7.225,7.230,363764.82,1675457999999,2632411.44650,4922,201254.14,1456271.38537,0
1675458000000,7.232,7.259,7.229,7.252,260488.08,1675459799999,1886968.22528,3778,124629.89,902879.06361,0
1675459800000,7.253,7.262,7.222,7.256,261882.65,1675461599999,1897663.26766,3713,129371.53,937554.51618,0
1675461600000,7.256,7.280,7.249,7.251,266122.83,1675463399999,1933550.80909,3954,133963.31,973518.61746,0
1675463400000,7.251,7.312,7.250,7.299,198152.81,1675465199999,1442714.00350,3637,130120.09,947644.96001,0
1675465200000,7.298,7.311,7.281,7.298,306346.29,1675466999999,2234410.20500,4272,145237.65,1059325.88231,0
1675467000000,7.297,7.310,7.284,7.298,276922.98,1675468799999,2021151.56919,3635,133389.35,973611.43930,0
1675468800000,7.299,7.327,7.258,7.297,731291.03,1675470599999,5332198.44604,8482,304121.65,2217913.21751,0
1675470600000,7.296,7.310,7.256,7.271,452318.58,1675472399999,3295743.20003,6058,219221.37,1597419.29649,0
1675472400000,7.273,7.288,7.233,7.237,455792.95,1675474199999,3310239.73719,5764,159192.71,1156456.02237,0
1675474200000,7.238,7.261,7.207,7.214,375721.57,1675475999999,2718894.18386,4978,143151.67,1035792.85811,0
1675476000000,7.213,7.234,7.192,7.198,542860.91,1675477799999,3916537.30593,6063,252059.51,1818711.86260,0
