open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,656.10,657.00,649.00,649.30,781.807,1675211399999,510319.50690,3293,406.429,265278.27630,0
1675211400000,649.30,655.30,648.40,653.10,466.966,1675213199999,304739.71940,1958,252.139,164578.73470,0
1675213200000,652.80,654.10,649.50,649.60,308.439,1675214999999,201340.10310,1301,132.910,86766.73800,0
1675215000000,649.60,655.40,649.30,653.40,309.562,1675216799999,201973.33850,1241,161.465,105347.44810,0
1675216800000,653.40,653.80,650.80,651.80,211.294,1675218599999,137844.60090,828,91.575,59735.86520,0
1675218600000,651.80,654.20,651.40,653.80,328.403,1675220399999,214464.45210,1234,161.261,105325.44860,0
1675220400000,653.70,654.70,650.40,651.40,387.987,1675222199999,253187.65140,1263,200.328,130769.22810,0
1675222200000,651.20,653.60,648.80,653.50,253.828,1675223999999,165220.95400,982,114.686,74693.02720,0
1675224000000,653.20,654.90,652.20,654.30,277.533,1675225799999,181513.22190,1018,128.129,83804.64940,0
1675225800000,654.30,655.30,651.30,652.50,379.644,1675227599999,248329.12070,874,118.042,77163.84590,0
1675227600000,652.60,655.80,652.50,655.50,241.824,1675229399999,158210.03420,1011,110.361,72215.58900,0
1675229400000,655.60,656.00,651.50,651.90,349.674,1675231199999,228394.66170,1480,169.646,110768.60600,0
1675231200000,651.90,653.80,646.70,650.20,733.502,1675232999999,477254.34530,3022,345.840,225005.96330,0
1675233000000,649.80,650.50,643.00,643.70,492.332,1675234799999,318530.77570,1777,223.819,144939.10130,0
1675234800000,643.70,649.00,641.00,649.00,531.666,1675236599999,342837.53990,2049,248.749,160456.74650,0
1675236600000,649.10,649.80,644.10,645.60,250.658,1675238399999,162076.25440,1055,95.826,61955.84310,0
1675238400000,645.50,646.30,636.00,637.30,633.622,1675240199999,405774.31390,2129,198.438,127251.39140,0
1675240200000,637.40,643.70,636.10,641.00,410.443,1675241999999,262842.22850,1413,233.689,149614.60440,0
1675242000000,640.80,643.40,635.80,643.30,445.865,1675243799999,285436.33340,1980,179.089,114667.03500,0
1675243800000,643.30,644.50,641.30,643.60,332.282,1675245599999,213614.21580,1249,180.300,115940.44970,0
1675245600000,643.60,645.80,642.00,642.50,365.090,1675247399999,235156.74550,1956,162.630,104752.67200,0
1675247400000,642.60,644.70,640.00,642.90,215.037,1675249199999,138190.92510,929,112.904,72566.57920,0
1675249200000,643.00,645.60,641.60,644.80,346.443,1675250999999,222866.33750,1427,197.485,127058.59670,0
1675251000000,644.80,646.20,644.00,644.20,197.387,1675252799999,127358.46850,968,88.790,57295.17010,0
1675252800000,644.20,645.80,642.40,644.00,498.693,1675254599999,321413.89040,1851,216.599,139625.66830,0
1675254600000,644.10,644.40,640.90,641.80,291.177,1675256399999,187125.81150,1306,148.530,95479.48270,0
1675256400000,641.90,646.10,637.20,643.90,673.969,1675258199999,432623.23980,2449,340.195,218389.03550,0
1675258200000,643.80,644.60,641.30,641.90,275.601,1675259999999,177139.47480,1208,131.285,84391.24260,0
1675260000000,642.00,645.10,640.90,642.00,242.145,1675261799999,155593.13480,1135,129.903,83472.93040,0
1675261800000,641.90,645.10,637.40,641.00,736.683,1675263599999,472775.66680,2959,412.460,264787.15090,0
1675263600000,641.00,641.10,632.30,635.20,938.443,1675265399999,597997.76630,4581,435.242,277445.45650,0
1675265400000,635.10,636.80,622.70,627.20,1318.300,1675267199999,829522.98460,4719,605.989,381750.96840,0
1675267200000,627.30,630.80,625.90,630.20,764.476,1675268999999,480568.09390,3320,385.544,242454.19620,0
1675269000000,630.10,631.10,623.00,627.90,557.119,1675270799999,349705.99870,2484,287.364,180400.57280,0
1675270800000,627.70,630.30,624.40,628.40,478.512,1675272599999,300407.52230,1686,182.048,114217.61760,0
1675272600000,628.60,629.50,620.70,626.10,525.092,1675274399999,328629.20570,2168,253.935,158930.92560,0
1675274400000,626.20,631.80,621.30,631.00,516.374,1675276199999,323064.53500,2152,267.508,167356.51870,0
1675276200000,631.20,633.00,627.40,630.50,537.704,1675277999999,338909.80570,2132,256.169,161429.14920,0
1675278000000,630.60,642.20,624.30,636.60,1679.511,1675279799999,1066857.38370,5851,839.717,533691.83120,0
1675279800000,636.50,658.70,630.20,653.20,3000.274,1675281599999,1945868.68970,9102,1598.751,1037958.64280,0
1675281600000,653.30,662.20,652.10,661.90,2488.197,1675283399999,1637805.66980,8299,1082.533,712562.25180,0
1675283400000,661.90,664.30,659.40,664.10,1172.459,1675285199999,776348.05900,4869,561.782,372037.80450,0
1675285200000,664.20,672.40,664.20,670.30,1434.570,1675286999999,960172.33540,5030,690.698,462339.22560,0
1675287000000,670.30,672.20,665.00,667.90,980.552,1675288799999,655318.41250,3568,432.448,289120.40490,0
1675288800000,668.00,674.00,668.00,670.00,892.613,1675290599999,599016.57280,3064,413.881,277796.82840,0
1675290600000,670.10,670.70,666.10,669.20,528.844,1675292399999,353447.72510,2075,254.009,169842.35080,0
1675292400000,669.20,672.00,667.70,671.60,602.923,1675294199999,404062.57980,2066,299.074,200444.51720,0
1675294200000,671.90,672.40,666.20,669.10,481.901,1675295999999,322369.98870,1807,224.732,150361.07210,0
1675296000000,669.10,674.20,668.70,671.20,1218.472,1675297799999,817822.21570,4089,623.921,418772.42240,0
1675297800000,670.90,682.40,670.20,678.50,1592.648,1675299599999,1077597.35720,5425,809.947,547944.66160,0
1675299600000,678.50,679.90,674.10,677.80,947.216,1675301399999,640867.19340,3448,532.226,360200.63190,0
1675301400000,677.80,678.40,671.70,673.40,711.829,1675303199999,479970.19590,2446,335.069,226062.36030,0
1675303200000,673.20,675.50,671.60,673.00,493.976,1675304999999,332909.70770,2020,236.543,159423.75670,0
1675305000000,672.90,673.60,667.10,669.80,1367.840,1675306799999,915032.66000,4532,602.793,403289.20590,0
1675306800000,669.90,672.90,669.70,672.80,622.921,1675308599999,418120.97610,2417,337.585,226604.05210,0
1675308600000,672.70,676.00,671.40,672.70,594.637,1675310399999,400501.69350,2494,293.363,197643.13300,0
1675310400000,672.70,675.00,672.30,674.00,470.188,1675312199999,316820.44650,1880,235.206,158488.17970,0
1675312200000,674.00,675.90,673.60,674.90,371.208,1675313999999,250462.11440,1405,169.878,114626.76430,0
1675314000000,675.00,679.80,674.70,678.80,624.691,1675315799999,423459.04240,2328,316.372,214456.32700,0
1675315800000,678.90,682.90,678.70,680.00,812.037,1675317599999,552750.55600,2501,303.264,206483.23680,0
1675317600000,679.80,683.10,675.80,677.20,795.087,1675319399999,540480.47810,3115,330.709,224857.51110,0
1675319400000,677.20,682.50,676.30,680.70,491.731,1675321199999,334431.01170,1979,213.037,144875.39360,0
1675321200000,680.60,685.50,680.60,684.40,528.230,1675322999999,360992.68980,2120,299.513,204670.36330,0
1675323000000,684.40,685.50,677.70,681.50,674.686,1675324799999,459701.15470,2233,238.108,162283.86120,0
1675324800000,681.50,684.60,681.20,682.70,568.762,1675326599999,388391.01240,2346,272.031,185743.29070,0
1675326600000,682.60,683.20,680.20,681.50,386.623,1675328399999,263481.35760,1377,179.855,122535.60320,0
1675328400000,681.40,682.40,678.20,680.30,553.798,1675330199999,376890.63190,1831,249.320,169744.99310,0
1675330200000,680.10,685.20,680.00,685.00,376.841,1675331999999,257234.62040,1848,193.172,131878.60300,0
1675332000000,685.00,686.60,684.20,685.70,323.972,1675333799999,222107.00930,1842,163.730,112253.66410,0
1675333800000,685.60,686.60,684.60,686.40,324.929,1675335599999,222830.54260,1511,146.128,100231.05630,0
1675335600000,686.50,690.60,686.10,689.40,797.314,1675337399999,549208.61590,3227,467.034,321742.65030,0
1675337400000,689.30,692.60,687.20,690.00,804.292,1675339199999,555098.17930,2463,308.370,212872.16090,0
1675339200000,690.10,692.60,689.80,692.30,753.670,1675340999999,520992.90940,2314,415.193,287046.59000,0
1675341000000,692.40,694.30,689.20,694.00,639.579,1675342799999,442586.64250,2220,329.879,228324.69100,0
1675342800000,693.90,699.20,693.30,698.10,1026.147,1675344599999,714140.99730,3789,558.998,389098.00850,0
