open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,0.08331,0.08402,0.08273,0.08309,5798413,1675211399999,483795.82447,3800,3131465,261288.65003,0
1675211400000,0.08305,0.08404,0.08297,0.08358,3138555,1675213199999,262565.93034,2168,1607479,134492.30283,0
1675213200000,0.08359,0.08406,0.08330,0.08337,2244103,1675214999999,188038.31632,1729,1112853,93274.54663,0
1675215000000,0.08338,0.08429,0.08325,0.08411,2599781,1675216799999,217855.16506,1833,1448685,121390.01293,0
1675216800000,0.08411,0.08490,0.08411,0.08439,4067524,1675218599999,343346.30424,2583,2282411,192685.39351,0
1675218600000,0.08439,0.08482,0.08425,0.08466,2283705,1675220399999,193074.48954,1667,1261383,106651.51835,0
1675220400000,0.08469,0.08530,0.08385,0.08451,10779986,1675222199999,912911.75412,5096,4676658,396189.44684,0
1675222200000,0.08455,0.08491,0.08409,0.08485,5014494,1675223999999,423611.10698,2210,3167119,267588.21747,0
1675224000000,0.08487,0.08544,0.08481,0.08522,5147401,1675225799999,438347.66302,2282,2447600,208417.67971,0
1675225800000,0.08523,0.08529,0.08461,0.08471,2610251,1675227599999,221549.25003,1564,1334347,113246.50389,0
1675227600000,0.08471,0.08491,0.08428,0.08461,4067015,1675229399999,343609.57942,1796,2316530,195692.62191,0
1675229400000,0.08460,0.08479,0.08354,0.08365,5740884,1675231199999,482378.01681,2782,2615497,219773.06618,0
1675231200000,0.08365,0.08417,0.08302,0.08324,6931119,1675232999999,580193.07143,3141,3379724,282976.12791,0
1675233000000,0.08326,0.08329,0.08230,0.08250,3584857,1675234799999,297078.68868,2489,1869462,154953.53997,0
1675234800000,0.08246,0.08281,0.08181,0.08280,4224382,1675236599999,347605.22388,2727,2326903,191528.83646,0
1675236600000,0.08279,0.08280,0.08188,0.08197,2646193,1675238399999,217678.31218,1915,1435805,118117.25901,0
1675238400000,0.08195,0.08197,0.08009,0.08021,7967825,1675240199999,646369.19861,4808,3912072,317449.68350,0
1675240200000,0.08022,0.08083,0.08004,0.08067,4798592,1675241999999,385887.65718,2805,2743594,220631.79823,0
1675242000000,0.08066,0.08122,0.07968,0.08120,5632124,1675243799999,452846.48582,3300,2610090,210126.02268,0
1675243800000,0.08117,0.08119,0.08049,0.08080,3155671,1675245599999,254825.75649,2149,1381036,111527.49263,0
1675245600000,0.08080,0.08106,0.08036,0.08073,2910901,1675247399999,235094.71543,2244,1635423,132079.28612,0
1675247400000,0.08072,0.08100,0.08018,0.08084,1741585,1675249199999,140459.06091,1364,851230,68647.95397,0
1675249200000,0.08082,0.08126,0.08055,0.08121,1820733,1675250999999,147341.84262,1386,891179,72085.94044,0
1675251000000,0.08122,0.08149,0.08087,0.08130,3150253,1675252799999,255936.50513,2001,1727306,140329.34882,0
1675252800000,0.08130,0.08142,0.08081,0.08126,3533890,1675254599999,286766.92833,2524,1486096,120593.77285,0
1675254600000,0.08128,0.08130,0.08060,0.08086,2694594,1675256399999,218222.28947,2184,1326780,107467.68498,0
1675256400000,0.08087,0.08108,0.07962,0.08056,5874950,1675258199999,472508.44110,3832,2761973,222288.19042,0
1675258200000,0.08055,0.08076,0.08011,0.08033,2490768,1675259999999,200368.95082,1956,1417441,114009.25139,0
1675260000000,0.08032,0.08052,0.07985,0.08016,3259794,1675261799999,261097.08278,2199,1632000,130725.81231,0
1675261800000,0.08016,0.08029,0.07910,0.07971,6093947,1675263599999,485864.22776,3647,3045035,242851.03929,0
1675263600000,0.07975,0.07983,0.07858,0.07906,6896047,1675265399999,545808.24930,4095,3369257,266724.12795,0
1675265400000,0.07909,0.07945,0.07723,0.07817,10490705,1675267199999,820339.24360,5627,4349836,340921.40616,0
1675267200000,0.07816,0.07877,0.07802,0.07824,5712233,1675268999999,448160.69280,3273,2982538,234013.37277,0
1675269000000,0.07823,0.07843,0.07747,0.07819,6540007,1675270799999,510388.23764,3204,2575395,201033.09238,0
1675270800000,0.07819,0.07832,0.07765,0.07803,2669755,1675272599999,208149.81948,2083,1302650,101603.60790,0
1675272600000,0.07802,0.07811,0.07683,0.07751,4465795,1675274399999,345741.93627,2943,2156345,166998.69835,0
1675274400000,0.07753,0.07845,0.07714,0.07826,5579862,1675276199999,432878.70723,3645,3328126,258138.76640,0
1675276200000,0.07832,0.07855,0.07781,0.07832,4601595,1675277999999,359838.83259,3320,2626138,205352.64487,0
1675278000000,0.07829,0.08017,0.07770,0.07915,13262346,1675279799999,1049531.55489,7977,6926117,548342.32133,0
1675279800000,0.07915,0.08322,0.07839,0.08226,19064275,1675281599999,1546162.53123,11163,8098765,655527.08067,0
1675281600000,0.08228,0.08466,0.08226,0.08435,11849624,1675283399999,987782.63717,7846,5244059,437412.60909,0
1675283400000,0.08437,0.08512,0.08387,0.08478,11216408,1675285199999,948431.65834,6053,4323042,365630.43752,0
1675285200000,0.08483,0.08656,0.08481,0.08622,11516440,1675286999999,989537.96515,6446,5652150,485789.24337,0
1675287000000,0.08623,0.08719,0.08623,0.08686,8518785,1675288799999,737895.79202,4984,3922628,339690.48887,0
1675288800000,0.08686,0.08722,0.08635,0.08638,5318941,1675290599999,461810.43904,3334,2704832,234844.63177,0
1675290600000,0.08639,0.08661,0.08579,0.08637,3216301,1675292399999,277413.24696,2484,1474752,127267.12753,0
1675292400000,0.08637,0.08712,0.08621,0.08705,3556516,1675294199999,308215.29651,2418,1952766,169272.42533,0
1675294200000,0.08706,0.08712,0.08589,0.08634,3288913,1675295999999,284047.38310,2478,1707940,147487.73153,0
1675296000000,0.08634,0.08781,0.08634,0.08715,10912857,1675297799999,951305.79322,6676,5917284,515770.85239,0
1675297800000,0.08714,0.08926,0.08690,0.08894,12120687,1675299599999,1069739.94509,6892,6540667,577274.04705,0
1675299600000,0.08896,0.08966,0.08877,0.08928,5743190,1675301399999,512492.39216,3736,2989125,266721.97178,0
1675301400000,0.08929,0.09031,0.08885,0.09002,7541915,1675303199999,676138.79043,3980,3885691,348492.60276,0
1675303200000,0.09002,0.09034,0.08918,0.08953,7151810,1675304999999,642096.16614,3826,3015200,270767.14084,0
1675305000000,0.08953,0.08994,0.08909,0.08929,5525565,1675306799999,494202.24158,3376,2911595,260407.18356,0
1675306800000,0.08929,0.09012,0.08847,0.08867,10640401,1675308599999,950595.14237,5829,4253012,380136.13987,0
1675308600000,0.08867,0.08916,0.08828,0.08843,7331373,1675310399999,651056.14562,3510,3244536,288230.98247,0
1675310400000,0.08843,0.08946,0.08843,0.08884,4053980,1675312199999,360921.26288,2415,2026233,180362.66741,0
1675312200000,0.08885,0.08893,0.08818,0.08831,4142474,1675313999999,366621.20915,2753,1860388,164674.79165,0
1675314000000,0.08832,0.08866,0.08779,0.08791,4239167,1675315799999,373895.82959,2461,2186287,192786.12663,0
1675315800000,0.08786,0.08823,0.08758,0.08760,3396295,1675317599999,298601.85861,2457,1520677,133716.05798,0
1675317600000,0.08757,0.08868,0.08754,0.08788,5938532,1675319399999,523482.71744,3220,3183171,280578.33035,0
1675319400000,0.08788,0.08822,0.08760,0.08772,2617962,1675321199999,230145.99042,1781,1180539,103782.71122,0
1675321200000,0.08776,0.08791,0.08728,0.08733,1820591,1675322999999,159554.43673,1518,791621,69414.17087,0
1675323000000,0.08735,0.08773,0.08646,0.08689,4326403,1675324799999,376138.87799,2843,1853231,161171.51974,0
1675324800000,0.08688,0.08836,0.08676,0.08831,4401979,1675326599999,385589.09982,2960,2398153,210063.02180,0
1675326600000,0.08827,0.08831,0.08770,0.08788,2215140,1675328399999,194864.81710,1749,899040,79072.98895,0
1675328400000,0.08785,0.08785,0.08733,0.08750,2534529,1675330199999,222080.29568,1963,1189822,104252.92378,0
1675330200000,0.08753,0.08806,0.08749,0.08803,1911011,1675331999999,167839.07186,1577,1199000,105310.24335,0
1675332000000,0.08802,0.08802,0.08743,0.08746,3048116,1675333799999,267236.74609,1839,1132758,99336.73228,0
1675333800000,0.08741,0.08788,0.08706,0.08788,2333190,1675335599999,204140.33809,1608,1204202,105361.86447,0
1675335600000,0.08785,0.08831,0.08747,0.08824,2531526,1675337399999,222561.12572,1999,1279606,112501.16650,0
1675337400000,0.08827,0.08868,0.08804,0.08858,2262796,1675339199999,199954.16448,1877,1022259,90357.55101,0
1675339200000,0.08856,0.08866,0.08820,0.08847,4027791,1675340999999,356170.61727,3225,1976056,174762.29255,0
1675341000000,0.08848,0.08902,0.08809,0.08891,2009936,1675342799999,177943.36348,1752,1042902,92358.84058,0
1675342800000,0.08893,0.08925,0.08817,0.08912,3181283,1675344599999,282000.98116,2625,1543914,136840.17748,0
1675344600000,0.08912,0.08912,0.08844,0.08898,3253470,1675346399999,288791.33473,2804,1392417,123593.51877,0
1675346400000,0.08898,0.08959,0.08826,0.08938,4107188,1675348199999,364808.05821,3280,1937193,172157.01237,0
1675348200000,0.08939,0.08960,0.08746,0.08776,6608412,1675349999999,585008.79131,4640,2723348,241121.48570,0
1675350000000,0.08779,0.08928,0.08766,0.08904,6034665,1675351799999,534026.60178,4480,3241916,286895.45460,0
1675351800000,0.08905,0.08995,0.08895,0.08949,5614529,1675353599999,502090.37387,4233,2860156,255857.93719,0
1675353600000,0.08948,0.09020,0.08880,0.09007,6111754,1675355399999,546495.14203,4620,2811076,251445.21690,0
1675355400000,0.09006,0.09063,0.08920,0.08963,7928662,1675357199999,713938.91938,4482,3713078,334313.01671,0
1675357200000,0.08964,0.09034,0.08955,0.08975,4862187,1675358999999,437122.98082,3134,2098220,188716.84344,0
1675359000000,0.08979,0.09143,0.08974,0.09131,6187257,1675360799999,560863.98051,4167,3265897,296191.86689,0
1675360800000,0.09132,0.09194,0.09087,0.09103,10270734,1675362599999,937873.35915,5579,4670386,426577.02107,0
1675362600000,0.09104,0.09164,0.09079,0.09119,4286567,1675364399999,391177.17387,2816,1970265,179802.64663,0
1675364400000,0.09116,0.09162,0.08969,0.09024,6986185,1675366199999,633419.59714,4409,3041141,275979.10535,0
1675366200000,0.09022,0.09081,0.08983,0.09031,6002129,1675367999999,542299.40566,3663,2979972,269210.44546,0
1675368000000,0.09031,0.09101,0.08993,0.09090,3390506,1675369799999,306606.14780,2428,1732150,156667.71269,0
1675369800000,0.09090,0.09103,0.09040,0.09088,2324455,1675371599999,210970.17289,1644,1227649,111434.65158,0
1675371600000,0.09086,0.09122,0.08964,0.09002,3996855,1675373399999,361066.54124,2748,1812787,163809.10785,0
1675373400000,0.09002,0.09014,0.08774,0.08793,7298340,1675375199999,650542.45541,4681,3066831,273345.57264,0
1675375200000,0.08799,0.08855,0.08736,0.08746,9284007,1675376999999,816479.30307,4729,4113451,361836.32174,0
1675377000000,0.08750,0.08794,0.08720,0.08770,3847523,1675378799999,336726.26226,2953,1728325,151306.99875,0
1675378800000,0.08770,0.08808,0.08727,0.08734,6204626,1675380599999,544475.63363,3323,3335883,292807.61376,0
1675380600000,0.08735,0.08795,0.08709,0.08756,3438119,1675382399999,300872.37016,2233,1691215,148022.19929,0
1675382400000,0.08761,0.08906,0.08749,0.08771,7017825,1675384199999,619555.54918,4002,3429426,302810.80134,0
1675384200000,0.08771,0.08782,0.08600,0.08772,7276120,1675385999999,631504.41160,3798,3012982,261840.71435,0
1675386000000,0.08776,0.08895,0.08773,0.08870,4485805,1675387799999,396644.41326,2817,2325103,205504.95314,0
1675387800000,0.08870,0.08887,0.08784,0.08794,2292735,1675389599999,202568.77047,1846,996188,88000.94488,0
1675389600000,0.08791,0.08829,0.08697,0.08711,2045771,1675391399999,179482.88965,1758,878433,77110.38616,0
1675391400000,0.08709,0.08741,0.08613,0.08688,5275454,1675393199999,457618.47580,2730,3198917,277378.22956,0
1675393200000,0.08689,0.08763,0.08683,0.08748,3872185,1675394999999,337216.63904,1895,1616926,140876.47281,0
1675395000000,0.08751,0.08771,0.08730,0.08769,1857568,1675396799999,162537.21572,1607,930281,81389.04799,0
1675396800000,0.08766,0.08821,0.08759,0.08775,2803524,1675398599999,246288.02467,2178,1459027,128179.73423,0
1675398600000,0.08775,0.08782,0.08737,0.08760,1871588,1675400399999,163963.64108,1617,848729,74366.77337,0
1675400400000,0.08757,0.08776,0.08741,0.08745,2168642,1675402199999,189956.46074,2026,1152544,100974.21493,0
1675402200000,0.08741,0.08767,0.08731,0.08767,1289113,1675403999999,112667.95901,1552,702306,61384.57452,0
1675404000000,0.08766,0.08844,0.08739,0.08761,4801171,1675405799999,422160.79359,3338,2447333,215204.44765,0
1675405800000,0.08761,0.08788,0.08718,0.08744,1844050,1675407599999,161417.13082,1774,923952,80877.83878,0
1675407600000,0.08743,0.08769,0.08667,0.08673,2406822,1675409399999,209857.21324,2599,1182148,103081.31898,0
1675409400000,0.08674,0.08708,0.08622,0.08698,3364710,1675411199999,291563.35419,2768,1790053,155152.13838,0
1675411200000,0.08695,0.08729,0.08641,0.08727,2166645,1675412999999,188156.92634,2075,1217964,105768.35235,0
1675413000000,0.08729,0.08776,0.08703,0.08772,1761011,1675414799999,153805.98188,1710,986803,86207.14048,0
1675414800000,0.08774,0.08921,0.08772,0.08843,6007205,1675416599999,532145.56574,3967,3212976,284603.39365,0
1675416600000,0.08841,0.08868,0.08800,0.08821,2381639,1675418399999,210345.22892,1653,1115483,98521.65975,0
1675418400000,0.08821,0.08874,0.08809,0.08858,3128687,1675420199999,276546.86921,1866,1495352,132180.30759,0
1675420200000,0.08858,0.09180,0.08855,0.09029,20361731,1675421999999,1842973.28696,10096,10668301,964999.78857,0
1675422000000,0.09030,0.09149,0.08982,0.09001,15316533,1675423799999,1386791.02497,6985,7079925,641435.93524,0
1675423800000,0.09000,0.09590,0.08988,0.09174,77417807,1675425599999,7198740.62909,32921,40301504,3747133.13241,0
1675425600000,0.09175,0.09283,0.09005,0.09246,33272237,1675427399999,3036558.86483,13860,15658785,1429540.87723,0
1675427400000,0.09245,0.09689,0.09238,0.09552,43000068,1675429199999,4078534.05963,19096,22376040,2121636.94921,0
1675429200000,0.09550,0.10281,0.09511,0.10001,176156437,1675430999999,17573292.96079,75617,91534126,9126327.82453,0
1675431000000,0.10005,0.10648,0.09825,0.10411,276262369,1675432799999,28692641.20091,104469,140227428,14573885.93704,0
1675432800000,0.10411,0.10570,0.10131,0.10491,152165589,1675434599999,15733983.78944,59944,77323451,7999825.59994,0
1675434600000,0.10498,0.11032,0.10431,0.10897,261518506,1675436399999,28122348.45942,104146,135735017,14604895.78745,0
1675436400000,0.10898,0.11225,0.10886,0.11024,209933690,1675438199999,23211579.22835,78693,105370044,11652527.57910,0
1675438200000,0.11028,0.11250,0.10902,0.10935,121671790,1675439999999,13471289.45389,46089,57489532,6370628.56840,0
1675440000000,0.10936,0.11027,0.10741,0.10771,107953595,1675441799999,11748140.46475,40462,53265135,5798521.18026,0
1675441800000,0.10772,0.10924,0.10731,0.10765,61867266,1675443599999,6695589.35577,24743,33360335,3611763.07767,0
1675443600000,0.10760,0.11098,0.10760,0.11073,69390627,1675445399999,7576963.16921,27046,38639771,4219854.66907,0
1675445400000,0.11073,0.11555,0.11014,0.11173,119807199,1675447199999,13512512.00237,50620,60176118,6789413.20116,0
1675447200000,0.11178,0.11227,0.10951,0.11000,66294118,1675448999999,7343717.61218,27842,33360336,3696765.79029,0
1675449000000,0.10999,0.11096,0.10910,0.10974,32918200,1675450799999,3617851.37124,14363,16797721,1846776.53475,0
1675450800000,0.10974,0.11064,0.10900,0.11033,28471171,1675452599999,3127004.78216,13384,14739394,1619354.12377,0
1675452600000,0.11028,0.11029,0.10855,0.10895,27209824,1675454399999,2975804.16292,11636,12685159,1388091.75065,0
1675454400000,0.10894,0.11067,0.10860,0.11037,41637142,1675456199999,4569117.27366,17741,22608906,2481534.57920,0
1675456200000,0.11037,0.11175,0.11035,0.11070,29201663,1675457999999,3240115.78353,14434,15723035,1744769.41017,0
1675458000000,0.11071,0.11094,0.10975,0.11016,23105234,1675459799999,2549639.49800,11804,10962397,1209864.53361,0
1675459800000,0.11019,0.11139,0.11009,0.11025,19663115,1675461599999,2176395.86225,9657,10208793,1130155.96060,0
1675461600000,0.11028,0.11087,0.10787,0.10894,40309190,1675463399999,4394127.30278,17659,20841510,2271685.83901,0
1675463400000,0.10891,0.10913,0.10827,0.10852,12743683,1675465199999,1384727.41181,6752,6504327,706864.27418,0
1675465200000,0.10852,0.10891,0.10785,0.10877,19565410,1675466999999,2119447.48668,8899,10941924,1185473.61533,0
1675467000000,0.10876,0.10879,0.10743,0.10763,20667534,1675468799999,2232232.55036,9208,9782441,1056970.20792,0
1675468800000,0.10763,0.10772,0.10450,0.10582,79863263,1675470599999,8445100.84335,29990,39688643,4197277.92737,0
1675470600000,0.10581,0.10585,0.10470,0.10497,22993457,1675472399999,2418667.73321,10428,13261412,1395089.15950,0
1675472400000,0.10499,0.10511,0.10344,0.10376,30403926,1675474199999,3168080.41761,12150,15842687,1651102.52993,0
1675474200000,0.10374,0.10530,0.10326,0.10493,26164520,1675475999999,2729753.59156,11212,15679495,1636208.67060,0
1675476000000,0.10490,0.10510,0.10403,0.10444,14218574,1675477799999,1487815.76192,7139,6726624,704135.46164,0
1675477800000,0.10444,0.10444,0.10370,0.10385,10400137,1675479599999,1082508.29963,5788,5274417,549016.54871,0
1675479600000,0.10387,0.10388,0.10314,0.10370,12985566,1675481399999,1344477.77051,7292,6620476,685538.35227,0
1675481400000,0.10368,0.10368,0.10254,0.10350,19773573,1675483199999,2036548.96908,8960,10264706,1057255.93914,0
1675483200000,0.10350,0.10353,0.10130,0.10269,33834801,1675484999999,3461689.34080,15202,16104059,1648191.07548,0
1675485000000,0.10269,0.10269,0.10192,0.10228,10486489,1675486799999,1071989.86615,6347,5908468,604000.66739,0
1675486800000,0.10228,0.10231,0.10172,0.10209,14754649,1675488599999,1504769.07977,8330,7703591,785669.38771,0
1675488600000,0.10208,0.10275,0.10177,0.10254,14502240,1675490399999,1482632.48211,8566,8530948,872383.88029,0
1675490400000,0.10258,0.10357,0.10165,0.10304,28565773,1675492199999,2928944.20966,13326,16304189,1672322.26616,0
1675492200000,0.10304,0.10304,0.10225,0.10249,15125821,1675493999999,1552463.49636,8279,7615773,781692.21767,0
1675494000000,0.10248,0.10317,0.10214,0.10284,16364150,1675495799999,1682044.29984,8440,9064200,931765.36378,0
1675495800000,0.10285,0.10372,0.10265,0.10302,20012016,1675497599999,2065499.76441,9934,11069093,1142619.51043,0
1675497600000,0.10302,0.10364,0.10229,0.10359,19425805,1675499399999,1998513.38933,9709,10773948,1108663.97977,0
1675499400000,0.10357,0.10616,0.10346,0.10532,53185098,1675501199999,5574957.85952,25011,29488562,3091002.21154,0
1675501200000,0.10534,0.10534,0.10260,0.10330,38775244,1675502999999,4025105.52926,18705,16617024,1726119.93581,0
1675503000000,0.10328,0.10430,0.10299,0.10369,13043435,1675504799999,1353355.25930,7449,6538577,678394.08609,0
1675504800000,0.10369,0.10397,0.10310,0.10315,9830901,1675506599999,1016494.91165,6047,4260959,440591.56722,0
1675506600000,0.10314,0.10386,0.10265,0.10379,11391115,1675508399999,1176264.83200,6496,6028465,622675.62433,0
1675508400000,0.10379,0.10473,0.10377,0.10457,14458402,1675510199999,1507554.32860,7296,7499141,781813.08891,0
1675510200000,0.10457,0.10463,0.10357,0.10379,9289234,1675511999999,966541.51858,5079,3810572,396462.57320,0
1675512000000,0.10378,0.10439,0.10327,0.10411,9672604,1675513799999,1003882.61943,5265,5197348,539597.73241,0
1675513800000,0.10411,0.10484,0.10342,0.10351,13923101,1675515599999,1449664.98202,6432,5839807,608343.75826,0
1675515600000,0.10352,0.10421,0.10346,0.10421,11230600,1675517399999,1165306.59974,5965,5895313,611792.86347,0
1675517400000,0.10420,0.10513,0.10420,0.10504,11094909,1675519199999,1161440.13722,5849,5708542,597667.90828,0
1675519200000,0.10502,0.10582,0.10496,0.10580,13204178,1675520999999,1391709.82635,6924,6431433,677935.75625,0
1675521000000,0.10578,0.10594,0.10516,0.10550,7461689,1675522799999,787158.06342,4447,3232623,341012.28688,0
1675522800000,0.10549,0.10652,0.10469,0.10498,15645583,1675524599999,1652212.76331,7418,5952029,629349.39444,0
1675524600000,0.10498,0.10528,0.10417,0.10511,8642295,1675526399999,905930.43771,5011,4002488,419568.79804,0
1675526400000,0.10511,0.10550,0.10454,0.10471,7697385,1675528199999,808391.00063,4712,3145040,330322.10792,0
1675528200000,0.10473,0.10568,0.10472,0.10563,5273632,1675529999999,554938.48802,3635,2580430,271500.50676,0
1675530000000,0.10556,0.10557,0.10388,0.10409,10521671,1675531799999,1099425.90565,5896,4761142,497646.48452,0
1675531800000,0.10409,0.10498,0.10403,0.10476,5400275,1675533599999,564373.27665,3755,2673115,279315.61107,0
1675533600000,0.10474,0.10498,0.10379,0.10401,9950375,1675535399999,1038036.89678,5230,5109852,532935.23533,0
1675535400000,0.10406,0.10497,0.10403,0.10472,5170969,1675537199999,540938.02783,3352,2170436,226956.75083,0
1675537200000,0.10472,0.10485,0.10367,0.10367,5445689,1675538999999,567585.49813,3598,2683314,279639.75025,0
1675539000000,0.10367,0.10401,0.10345,0.10384,4534408,1675540799999,470406.87555,3212,2407316,249742.47060,0
1675540800000,0.10385,0.10435,0.10338,0.10345,6792812,1675542599999,705464.61105,4107,2844219,295482.35579,0
1675542600000,0.10344,0.10350,0.10270,0.10301,7935970,1675544399999,817589.76402,4351,3231276,332886.87606,0
1675544400000,0.10301,0.10324,0.10282,0.10320,3994331,1675546199999,411657.30940,3254,2025023,208714.77993,0
1675546200000,0.10321,0.10351,0.10303,0.10348,3371731,1675547999999,348395.78817,2646,1715388,177267.62686,0
1675548000000,0.10348,0.10364,0.10319,0.10335,2996474,1675549799999,309938.35733,2916,1515055,156747.14359,0
1675549800000,0.10334,0.10352,0.10285,0.10310,2842735,1675551599999,293322.74412,2259,1442064,148832.43294,0
1675551600000,0.10311,0.10326,0.10280,0.10315,3312260,1675553399999,341292.34582,2804,1720012,177242.02388,0
1675553400000,0.10317,0.10317,0.10160,0.10247,9885253,1675555199999,1011075.68647,6173,3893612,398322.40458,0
1675555200000,0.10249,0.10300,0.10156,0.10217,8744988,1675556999999,895653.14409,5503,4164482,426678.45593,0
1675557000000,0.10216,0.10236,0.10073,0.10133,10240043,1675558799999,1039169.09378,5607,5016431,509212.97191,0
1675558800000,0.10133,0.10295,0.10133,0.10274,7711450,1675560599999,788563.05635,5098,4071666,416389.87403,0
1675560600000,0.10274,0.10309,0.10237,0.10269,7358325,1675562399999,756328.76416,4804,3478265,357578.16841,0
1675562400000,0.10271,0.10315,0.10232,0.10249,4487387,1675564199999,460762.49402,3216,2370547,243391.10920,0
1675564200000,0.10249,0.10256,0.10141,0.10144,7285829,1675565999999,742833.78848,4082,3137343,319943.92373,0
1675566000000,0.10145,0.10233,0.10138,0.10206,5889414,1675567799999,600467.52512,3685,2658061,271002.48193,0
