open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,0.004232,0.004275,0.004210,0.004232,198395712,1675211399999,841858.621928,4604,97646544,414359.936504,0
1675211400000,0.004231,0.004276,0.004216,0.004253,108730803,1675213199999,462158.528454,2713,55725262,236894.136971,0
1675213200000,0.004253,0.004273,0.004231,0.004235,99179546,1675214999999,421875.909970,2078,49472822,210444.781577,0
1675215000000,0.004235,0.004281,0.004226,0.004265,62640222,1675216799999,266540.482138,1533,32792495,139531.735335,0
1675216800000,0.004264,0.004264,0.004244,0.004257,77172814,1675218599999,328175.888051,1660,36861204,156736.700045,0
1675218600000,0.004257,0.004271,0.004249,0.004269,65906606,1675220399999,280774.682132,1467,30153715,128458.565205,0
1675220400000,0.004269,0.004278,0.004244,0.004252,84434833,1675222199999,360116.516322,1837,38736913,165249.006152,0
1675222200000,0.004251,0.004260,0.004229,0.004252,61556318,1675223999999,261243.659037,1517,29996683,127294.970035,0
1675224000000,0.004252,0.004274,0.004245,0.004267,83672684,1675225799999,356586.312379,1685,40413946,172230.697851,0
1675225800000,0.004266,0.004272,0.004239,0.004246,91621486,1675227599999,390027.743072,1930,44799438,190734.710296,0
1675227600000,0.004247,0.004259,0.004238,0.004244,108401259,1675229399999,460480.287433,2170,45122676,191696.931838,0
1675229400000,0.004245,0.004258,0.004184,0.004189,140993838,1675231199999,594634.364712,3402,66832176,282077.728326,0
1675231200000,0.004189,0.004215,0.004155,0.004173,214098463,1675232999999,897113.503988,3866,109166554,457671.142960,0
1675233000000,0.004174,0.004175,0.004112,0.004125,135544388,1675234799999,561804.081058,2974,61810353,256307.703396,0
1675234800000,0.004124,0.004150,0.004078,0.004148,141077423,1675236599999,580592.406876,2797,60277106,248309.667764,0
1675236600000,0.004148,0.004148,0.004123,0.004129,68658216,1675238399999,283751.651535,1463,33867749,139957.357296,0
1675238400000,0.004127,0.004128,0.004040,0.004055,236040439,1675240199999,963473.447491,4849,102096668,416908.714536,0
1675240200000,0.004054,0.004089,0.004044,0.004086,114137495,1675241999999,464538.754369,2432,59909788,243857.907439,0
1675242000000,0.004085,0.004106,0.004043,0.004106,120742804,1675243799999,492446.489773,2503,62457545,254853.878881,0
1675243800000,0.004106,0.004107,0.004075,0.004089,54158999,1675245599999,221432.354452,1532,29758042,121654.604994,0
1675245600000,0.004090,0.004113,0.004082,0.004090,68261366,1675247399999,279605.463013,1696,37841789,154996.382277,0
1675247400000,0.004090,0.004094,0.004065,0.004079,62001737,1675249199999,252816.056509,1608,30039002,122479.532510,0
1675249200000,0.004078,0.004099,0.004064,0.004098,77015686,1675250999999,314354.310549,1626,40689342,166088.668092,0
1675251000000,0.004097,0.004113,0.004080,0.004100,102789210,1675252799999,421349.196393,2161,52831084,216520.196982,0
1675252800000,0.004099,0.004115,0.004075,0.004109,127338448,1675254599999,521092.868786,2665,70528941,288697.253674,0
1675254600000,0.004110,0.004127,0.004097,0.004102,86862073,1675256399999,357471.592658,1886,40980428,168690.215759,0
1675256400000,0.004103,0.004126,0.004055,0.004105,174601257,1675258199999,714901.367169,3354,79344793,324904.752588,0
1675258200000,0.004104,0.004115,0.004071,0.004082,119621625,1675259999999,489254.110640,2340,54209356,221767.783184,0
1675260000000,0.004081,0.004095,0.004067,0.004075,80795480,1675261799999,329589.348899,1917,40730166,166139.632128,0
1675261800000,0.004074,0.004083,0.004024,0.004057,181734126,1675263599999,736744.390795,3618,84190970,341469.393196,0
