open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,1.7700,1.7810,1.7620,1.7640,523448,1675211399999,926775.0770,3162,253378,448758.9710,0
1675211400000,1.7640,1.7780,1.7590,1.7690,374295,1675213199999,662744.9160,2531,169424,300042.6890,0
1675213200000,1.7700,1.7760,1.7630,1.7630,231005,1675214999999,408772.8570,1650,117220,207435.1490,0
1675215000000,1.7630,1.7800,1.7610,1.7770,268169,1675216799999,475341.5500,1811,140587,249164.9010,0
1675216800000,1.7770,1.7790,1.7710,1.7750,137063,1675218599999,243200.2730,1069,72070,127888.0820,0
1675218600000,1.7740,1.7790,1.7710,1.7770,128748,1675220399999,228551.5900,1063,65388,116070.6850,0
1675220400000,1.7770,1.7790,1.7680,1.7690,164287,1675222199999,291476.3090,1157,80358,142639.1200,0
1675222200000,1.7690,1.7770,1.7650,1.7760,112111,1675223999999,198613.2450,970,56598,100261.1870,0
1675224000000,1.7750,1.7780,1.7700,1.7750,103218,1675225799999,183242.2920,947,52437,93107.7260,0
1675225800000,1.7760,1.7790,1.7690,1.7710,124633,1675227599999,221100.2760,1077,64760,114881.6760,0
1675227600000,1.7720,1.7780,1.7690,1.7770,136312,1675229399999,241639.0110,1190,70183,124466.9440,0
1675229400000,1.7760,1.7780,1.7650,1.7670,219079,1675231199999,387614.9000,1145,113298,200413.4470,0
1675231200000,1.7660,1.7660,1.7510,1.7550,357398,1675232999999,628423.5210,2647,142959,251395.5610,0
1675233000000,1.7540,1.7590,1.7410,1.7460,382062,1675234799999,668788.6620,2532,160851,281650.4620,0
1675234800000,1.7460,1.7520,1.7370,1.7520,430751,1675236599999,751150.4070,2925,222789,388638.7180,0
1675236600000,1.7530,1.7540,1.7420,1.7450,221390,1675238399999,386832.5730,1676,101662,177626.7280,0
1675238400000,1.7440,1.7450,1.7220,1.7260,548633,1675240199999,951776.9020,3786,224582,389645.9240,0
1675240200000,1.7260,1.7410,1.7240,1.7340,312510,1675241999999,541821.0080,2127,146108,253377.1000,0
1675242000000,1.7340,1.7410,1.7200,1.7400,323675,1675243799999,560151.7740,2230,157916,273436.3680,0
1675243800000,1.7410,1.7420,1.7310,1.7340,169658,1675245599999,294325.0220,1352,88158,152943.3110,0
1675245600000,1.7340,1.7410,1.7300,1.7320,179791,1675247399999,312029.5000,1538,102725,178294.2530,0
1675247400000,1.7330,1.7360,1.7250,1.7300,182803,1675249199999,316487.0980,1422,87013,150630.4410,0
1675249200000,1.7300,1.7420,1.7300,1.7410,244807,1675250999999,424998.1660,1628,142618,247627.0830,0
1675251000000,1.7400,1.7420,1.7350,1.7410,221707,1675252799999,385435.2560,1337,106561,185233.2780,0
1675252800000,1.7400,1.7470,1.7340,1.7410,467539,1675254599999,814272.1580,2753,257136,448092.0510,0
1675254600000,1.7400,1.7410,1.7320,1.7360,259905,1675256399999,451496.1220,1768,126056,219033.4810,0
1675256400000,1.7350,1.7470,1.7260,1.7420,460407,1675258199999,800096.4220,3093,227379,395124.9190,0
1675258200000,1.7410,1.7430,1.7310,1.7340,218472,1675259999999,379636.5350,1717,100925,175408.2850,0
1675260000000,1.7350,1.7430,1.7290,1.7330,345254,1675261799999,598970.1240,2058,152869,265318.5830,0
1675261800000,1.7330,1.7400,1.7240,1.7320,495632,1675263599999,858726.5460,2933,236345,409487.6720,0
1675263600000,1.7330,1.7330,1.7140,1.7240,699487,1675265399999,1205678.1980,4076,317657,547769.9370,0
1675265400000,1.7230,1.7320,1.7020,1.7080,963841,1675267199999,1652377.5710,5426,448505,768886.0400,0
1675267200000,1.7080,1.7200,1.7040,1.7150,425040,1675268999999,728233.7470,2650,214541,367702.1580,0
1675269000000,1.7150,1.7160,1.7000,1.7110,388375,1675270799999,663851.6100,2624,190191,325164.4030,0
1675270800000,1.7100,1.7170,1.7010,1.7110,349722,1675272599999,597857.1460,2298,180157,308111.7840,0
1675272600000,1.7120,1.7130,1.6830,1.7010,730709,1675274399999,1240205.0460,3883,296574,503787.0500,0
1675274400000,1.7000,1.7090,1.6850,1.7070,727030,1675276199999,1231546.0370,4198,414743,702638.5510,0
1675276200000,1.7070,1.7130,1.6940,1.7040,725431,1675277999999,1235231.5320,3785,411426,700660.7320,0
1675278000000,1.7040,1.7310,1.6950,1.7130,2308970,1675279799999,3964403.3610,11365,1189463,2043141.1670,0
1675279800000,1.7120,1.7790,1.6880,1.7660,3567382,1675281599999,6201596.5410,17116,1790110,3111384.7530,0
1675281600000,1.7660,1.7910,1.7600,1.7910,1616772,1675283399999,2873493.1260,8729,887128,1577272.8010,0
1675283400000,1.7910,1.8050,1.7830,1.7940,1211895,1675285199999,2175503.2030,6441,613862,1102059.6380,0
1675285200000,1.7950,1.8260,1.7950,1.8210,1466277,1675286999999,2661397.6250,7850,777218,1410757.0830,0
1675287000000,1.8210,1.8460,1.8120,1.8170,1564165,1675288799999,2860930.1350,7437,755350,1382718.7990,0
1675288800000,1.8180,1.8400,1.8170,1.8320,816663,1675290599999,1493793.1610,4077,465687,852084.8580,0
1675290600000,1.8310,1.8360,1.8210,1.8260,222956,1675292399999,407264.1820,1316,88712,162010.6470,0
1675292400000,1.8260,1.8400,1.8230,1.8400,295199,1675294199999,540842.0470,2028,152422,279247.3670,0
1675294200000,1.8390,1.8400,1.8250,1.8340,224519,1675295999999,411336.9820,1672,115152,210953.5450,0
1675296000000,1.8330,1.8490,1.8330,1.8400,708650,1675297799999,1304798.7090,4439,353455,650816.3160,0
1675297800000,1.8400,1.8690,1.8400,1.8680,1387170,1675299599999,2578388.9330,7751,696772,1295070.4050,0
1675299600000,1.8670,1.8690,1.8520,1.8580,447167,1675301399999,831901.5500,2877,193096,359240.0400,0
1675301400000,1.8580,1.8600,1.8510,1.8530,261251,1675303199999,484752.7710,2039,123979,230067.1640,0
1675303200000,1.8540,1.8610,1.8470,1.8510,232981,1675304999999,432172.9190,1767,96033,178194.1090,0
1675305000000,1.8520,1.8600,1.8470,1.8540,313176,1675306799999,580789.7900,1924,152765,283348.5430,0
1675306800000,1.8550,1.8630,1.8540,1.8600,242028,1675308599999,450065.1180,1552,132237,245931.2120,0
1675308600000,1.8600,1.8650,1.8530,1.8550,233146,1675310399999,433388.8360,1510,98871,183826.4520,0
1675310400000,1.8550,1.8670,1.8540,1.8650,257551,1675312199999,479217.7780,1815,145640,271046.5490,0
1675312200000,1.8650,1.8720,1.8620,1.8680,243183,1675313999999,454298.1180,1709,132633,247759.8090,0
1675314000000,1.8670,1.8800,1.8660,1.8720,360083,1675315799999,674628.8380,2499,187086,350575.6870,0
1675315800000,1.8720,1.8780,1.8650,1.8660,201782,1675317599999,377807.6080,1336,85798,160692.5290,0
1675317600000,1.8650,1.8720,1.8490,1.8530,464324,1675319399999,863557.1950,2703,193525,360028.7950,0
1675319400000,1.8530,1.8680,1.8530,1.8620,241131,1675321199999,449015.0020,1528,132423,246597.5820,0
1675321200000,1.8620,1.8680,1.8600,1.8630,203640,1675322999999,379596.8340,1399,101804,189800.9660,0
1675323000000,1.8630,1.8650,1.8510,1.8570,298855,1675324799999,555274.0110,1856,136354,253409.8240,0
1675324800000,1.8580,1.8750,1.8570,1.8720,321851,1675326599999,600639.6950,2351,174562,325871.3080,0
1675326600000,1.8720,1.8780,1.8710,1.8710,297396,1675328399999,557345.2770,1890,171065,320658.9930,0
1675328400000,1.8710,1.8740,1.8660,1.8670,246582,1675330199999,461153.3580,1715,120597,225597.3890,0
1675330200000,1.8670,1.8770,1.8660,1.8760,232741,1675331999999,435762.1390,1527,130203,243904.7040,0
1675332000000,1.8760,1.8800,1.8690,1.8730,241369,1675333799999,452411.6740,1640,123358,231337.2240,0
1675333800000,1.8730,1.8770,1.8650,1.8770,132857,1675335599999,248521.5110,1118,65949,123413.5400,0
1675335600000,1.8760,1.8920,1.8720,1.8910,385283,1675337399999,725222.6180,2499,248084,467031.9840,0
1675337400000,1.8900,1.8990,1.8850,1.8960,341633,1675339199999,646323.5520,2164,171572,324633.2510,0
1675339200000,1.8950,1.9220,1.8940,1.9210,1362655,1675340999999,2604308.3810,7198,811197,1550460.2210,0
1675341000000,1.9220,1.9330,1.9060,1.9100,1543094,1675342799999,2960736.2740,7276,726882,1394808.4660,0
1675342800000,1.9090,1.9170,1.8980,1.9150,743789,1675344599999,1417496.8250,4095,380580,725660.0740,0
1675344600000,1.9150,1.9150,1.8940,1.9030,666115,1675346399999,1266690.9530,3827,276872,526497.3690,0
1675346400000,1.9020,1.9300,1.8980,1.9230,632913,1675348199999,1210643.3230,3400,365721,699409.1310,0
1675348200000,1.9230,1.9260,1.8690,1.8850,1511453,1675349999999,2873499.2640,7724,625240,1189395.3850,0
1675350000000,1.8850,1.9060,1.8810,1.9050,953415,1675351799999,1806253.1770,5482,507690,961828.1470,0
1675351800000,1.9050,1.9540,1.9050,1.9370,1952019,1675353599999,3773677.5290,9428,1030745,1993042.5550,0
1675353600000,1.9370,1.9580,1.9290,1.9400,1049582,1675355399999,2038571.6460,6049,489323,950537.3130,0
1675355400000,1.9400,1.9520,1.9310,1.9310,741416,1675357199999,1438536.5830,4150,368001,713925.0660,0
1675357200000,1.9310,1.9410,1.9280,1.9330,543714,1675358999999,1051588.3090,3238,270369,522967.2840,0
1675359000000,1.9330,1.9400,1.9300,1.9400,373844,1675360799999,723309.1010,2258,198474,384121.5130,0
1675360800000,1.9390,1.9710,1.9380,1.9540,1040145,1675362599999,2035619.9200,6077,612691,1199212.4870,0
1675362600000,1.9540,1.9750,1.9470,1.9620,716297,1675364399999,1406112.0890,3860,368800,724449.5840,0
1675364400000,1.9610,1.9680,1.9130,1.9230,1116857,1675366199999,2159820.6200,5916,532854,1030064.9280,0
1675366200000,1.9240,1.9260,1.9060,1.9200,962580,1675367999999,1843461.0530,5250,478190,915950.9170,0
1675368000000,1.9210,1.9270,1.9110,1.9180,480275,1675369799999,920967.9700,3296,209538,401950.7950,0
1675369800000,1.9190,1.9230,1.9100,1.9220,345142,1675371599999,661522.8430,2198,162068,310653.4690,0
1675371600000,1.9220,1.9360,1.8920,1.8980,1045946,1675373399999,1999218.6310,5721,453972,868861.6070,0
1675373400000,1.8980,1.8990,1.8500,1.8570,1835513,1675375199999,3446502.0280,9691,808699,1519288.6030,0
1675375200000,1.8570,1.8880,1.8430,1.8770,1240490,1675376999999,2315092.1150,7388,568903,1062647.3770,0
1675377000000,1.8770,1.8820,1.8700,1.8800,363234,1675378799999,681504.6040,2442,184311,345942.4520,0
1675378800000,1.8790,1.8810,1.8480,1.8580,854520,1675380599999,1593901.2820,4743,324216,605285.7200,0
1675380600000,1.8580,1.8670,1.8450,1.8540,525116,1675382399999,973853.7190,2970,239491,444332.9250,0
1675382400000,1.8540,1.8730,1.8540,1.8670,743875,1675384199999,1387428.6520,4478,380238,709277.2330,0
1675384200000,1.8660,1.8670,1.8460,1.8650,471087,1675385999999,875401.9260,3065,232279,431748.6710,0
1675386000000,1.8640,1.8690,1.8560,1.8610,307965,1675387799999,573486.4180,2355,146454,272770.1130,0
1675387800000,1.8610,1.8650,1.8500,1.8530,310321,1675389599999,576815.3570,2149,150781,280375.7150,0
1675389600000,1.8540,1.8620,1.8380,1.8450,445090,1675391399999,823609.0570,2643,163570,302820.8380,0
1675391400000,1.8440,1.8510,1.8330,1.8410,359245,1675393199999,661244.6370,2489,173982,320470.4620,0
1675393200000,1.8410,1.8450,1.8300,1.8400,345345,1675394999999,634896.5130,2133,145213,267146.5450,0
1675395000000,1.8400,1.8550,1.8390,1.8540,210256,1675396799999,388394.0190,1649,124240,229484.9650,0
1675396800000,1.8540,1.8570,1.8460,1.8540,222627,1675398599999,412350.3790,1634,116057,215011.4930,0
1675398600000,1.8540,1.8580,1.8510,1.8540,182696,1675400399999,338865.0900,1427,89206,165473.4390,0
1675400400000,1.8540,1.8620,1.8510,1.8580,181886,1675402199999,337832.9020,1495,113313,210481.2370,0
1675402200000,1.8570,1.8590,1.8530,1.8570,221111,1675403999999,410541.4800,1606,100978,187507.9720,0
1675404000000,1.8580,1.8660,1.8540,1.8570,308320,1675405799999,573703.0640,2108,147565,274617.4190,0
1675405800000,1.8560,1.8600,1.8510,1.8530,226098,1675407599999,419705.1480,1407,97840,181685.6420,0
1675407600000,1.8530,1.8630,1.8440,1.8440,334162,1675409399999,619220.8820,2299,156002,289410.8810,0
1675409400000,1.8450,1.8510,1.8400,1.8430,459226,1675411199999,847171.3200,2815,214932,396580.2010,0
1675411200000,1.8430,1.8490,1.8310,1.8480,390536,1675412999999,719078.0850,2659,201371,370978.6250,0
1675413000000,1.8480,1.8480,1.8350,1.8400,177481,1675414799999,326801.4940,1499,77700,143079.4470,0
1675414800000,1.8400,1.8430,1.8350,1.8420,330293,1675416599999,607351.3260,2051,175395,322593.4900,0
1675416600000,1.8420,1.8490,1.8360,1.8390,245471,1675418399999,452262.6760,1743,124151,228871.7390,0
1675418400000,1.8390,1.8430,1.8300,1.8350,431913,1675420199999,792551.4110,2406,165063,303020.8450,0
1675420200000,1.8340,1.8480,1.8320,1.8440,256761,1675421999999,473114.1800,1718,150588,277473.9920,0
1675422000000,1.8450,1.8480,1.8350,1.8470,248197,1675423799999,457327.8250,1939,148045,272845.1240,0
1675423800000,1.8480,1.8760,1.8430,1.8750,878144,1675425599999,1636702.7840,4585,505398,941776.6290,0
1675425600000,1.8750,1.8810,1.8700,1.8800,621097,1675427399999,1164219.9110,3742,344550,646042.7960,0
1675427400000,1.8800,1.9020,1.8760,1.8870,704194,1675429199999,1330766.0150,3778,382996,724127.3960,0
1675429200000,1.8870,1.8890,1.8650,1.8750,736292,1675430999999,1383082.4690,4202,305151,573372.3550,0
1675431000000,1.8750,1.8750,1.8430,1.8580,1581249,1675432799999,2935205.5730,9259,708378,1315305.1790,0
1675432800000,1.8590,1.8660,1.8460,1.8580,456037,1675434599999,847415.1600,3005,223029,414581.0750,0
1675434600000,1.8580,1.8980,1.8560,1.8920,872265,1675436399999,1642307.7890,5362,517321,973917.5460,0
1675436400000,1.8920,1.9130,1.8700,1.9060,1040897,1675438199999,1971518.9720,6733,512343,971182.7380,0
1675438200000,1.9070,1.9210,1.9010,1.9040,645052,1675439999999,1233169.4750,3812,329579,630229.1600,0
1675440000000,1.9040,1.9170,1.8970,1.9170,554308,1675441799999,1057194.7130,3256,310742,592786.5080,0
1675441800000,1.9160,1.9220,1.8910,1.8910,655514,1675443599999,1249568.4840,3775,268637,512544.5140,0
1675443600000,1.8920,1.9050,1.8910,1.9030,400342,1675445399999,760170.3370,2662,235510,447218.2540,0
1675445400000,1.9030,1.9170,1.8970,1.8980,411797,1675447199999,785444.0190,2613,206062,393161.3880,0
1675447200000,1.8990,1.9030,1.8850,1.8880,632205,1675448999999,1196479.8450,3724,254044,480975.0650,0
1675449000000,1.8890,1.9020,1.8840,1.8990,583057,1675450799999,1103260.2570,2867,368773,697922.1590,0
1675450800000,1.8990,1.9010,1.8750,1.8820,742736,1675452599999,1401684.9870,3618,257392,485941.0130,0
1675452600000,1.8820,1.8910,1.8720,1.8730,474644,1675454399999,893305.5180,2745,221965,418055.0400,0
1675454400000,1.8740,1.8830,1.8610,1.8780,694428,1675456199999,1300252.1270,3946,337616,632623.4140,0
1675456200000,1.8790,1.8900,1.8780,1.8820,318377,1675457999999,599899.9700,2033,153729,289730.6290,0
1675458000000,1.8820,1.8930,1.8800,1.8920,231299,1675459799999,436617.4190,1510,123131,232498.5840,0
1675459800000,1.8910,1.8930,1.8760,1.8830,225614,1675461599999,425568.7270,1520,97112,183213.3790,0
1675461600000,1.8840,1.8940,1.8830,1.8930,127394,1675463399999,240579.7490,1152,59449,112243.3550,0
1675463400000,1.8930,1.9050,1.8920,1.9040,221149,1675465199999,420027.0390,1754,150338,285592.7230,0
1675465200000,1.9030,1.9090,1.8980,1.9020,223543,1675466999999,425413.6570,1729,126121,240044.0300,0
1675467000000,1.9030,1.9050,1.8970,1.9010,325568,1675468799999,619133.2980,1745,154119,293170.9480,0
1675468800000,1.9010,1.9050,1.8900,1.9010,508820,1675470599999,965814.6290,3319,246539,468059.2600,0
1675470600000,1.9010,1.9080,1.8950,1.8980,211634,1675472399999,402666.8450,1789,95978,182637.0710,0
1675472400000,1.8990,1.9040,1.8940,1.8950,142438,1675474199999,270575.6110,1179,70904,134688.7250,0
1675474200000,1.8940,1.9020,1.8860,1.8890,194785,1675475999999,368785.8300,1347,68776,130259.2290,0
1675476000000,1.8880,1.8890,1.8790,1.8820,239789,1675477799999,451882.7540,1585,88323,166461.9480,0
1675477800000,1.8820,1.8920,1.8810,1.8900,116938,1675479599999,220660.7520,940,75090,141720.2920,0
1675479600000,1.8900,1.8910,1.8810,1.8880,188862,1675481399999,356202.7030,1151,82159,155019.0850,0
1675481400000,1.8880,1.8890,1.8800,1.8840,97933,1675483199999,184488.4040,971,43965,82804.2200,0
1675483200000,1.8850,1.8890,1.8770,1.8860,143152,1675484999999,269681.4050,1247,69926,131725.0550,0
1675485000000,1.8860,1.8860,1.8780,1.8840,84804,1675486799999,159612.9460,774,36956,69548.5060,0
1675486800000,1.8830,1.8860,1.8700,1.8730,304378,1675488599999,571859.3690,1991,151141,284122.3040,0
1675488600000,1.8730,1.8810,1.8690,1.8800,115756,1675490399999,217011.4170,829,41690,78203.5550,0
1675490400000,1.8800,1.8820,1.8680,1.8800,154774,1675492199999,290508.9180,1283,77684,145805.4960,0
1675492200000,1.8820,1.8850,1.8760,1.8780,143324,1675493999999,269464.3810,1223,67646,127196.9710,0
1675494000000,1.8780,1.8850,1.8780,1.8800,139778,1675495799999,262857.5730,1078,71742,134916.8970,0
1675495800000,1.8800,1.8870,1.8760,1.8850,157162,1675497599999,295652.0820,1137,86049,161878.1080,0
1675497600000,1.8850,1.8900,1.8840,1.8880,156727,1675499399999,295712.4500,1279,83409,157389.4080,0
1675499400000,1.8880,1.8890,1.8800,1.8810,150852,1675501199999,284324.8990,1073,49055,92521.0810,0
1675501200000,1.8810,1.8870,1.8720,1.8790,597769,1675502999999,1123583.7520,2945,252082,474020.8170,0
1675503000000,1.8780,1.8810,1.8750,1.8780,163721,1675504799999,307526.8420,1303,79103,148616.0210,0
1675504800000,1.8780,1.8900,1.8770,1.8840,283260,1675506599999,533628.3830,2060,170445,321119.4720,0
1675506600000,1.8840,1.8910,1.8810,1.8870,234271,1675508399999,442066.6820,1625,131824,248736.9940,0
1675508400000,1.8880,1.8950,1.8850,1.8920,230965,1675510199999,436863.6520,1826,125158,236745.6090,0
1675510200000,1.8920,1.8960,1.8900,1.8940,181505,1675511999999,343639.0660,1364,103950,196815.9650,0
1675512000000,1.8940,1.8980,1.8910,1.8940,211221,1675513799999,400096.7520,1669,118567,224617.1700,0
1675513800000,1.8940,1.9040,1.8940,1.9020,275500,1675515599999,523192.3730,2175,165233,313837.5770,0
1675515600000,1.9020,1.9250,1.9020,1.9160,783711,1675517399999,1501484.0350,5259,395116,757120.8060,0
1675517400000,1.9170,1.9230,1.9100,1.9150,324484,1675519199999,621640.6310,2212,151452,290153.9960,0
1675519200000,1.9150,1.9150,1.9080,1.9140,339493,1675520999999,648726.6050,2485,147549,282018.5960,0
