open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,0.5742,0.5786,0.5564,0.5697,8060471,1675211399999,4576319.6406,19956,4071116,2313125.6156,0
1675211400000,0.5697,0.6880,0.5690,0.6683,82913650,1675213199999,54582021.9638,198115,44166914,29046597.1582,0
1675213200000,0.6682,0.7047,0.6672,0.6844,47569738,1675214999999,32659013.5435,100881,24785294,17030106.9718,0
1675215000000,0.6844,0.7000,0.6761,0.6928,36778096,1675216799999,25389601.6950,71619,18806987,12993494.2546,0
1675216800000,0.6927,0.7180,0.6910,0.7137,33812837,1675218599999,23815687.8082,69341,18777776,13233461.9031,0
1675218600000,0.7136,0.7410,0.7078,0.7142,47828883,1675220399999,34485644.9332,88918,24063971,17367656.9714,0
1675220400000,0.7143,0.7287,0.7124,0.7218,22275242,1675222199999,16067510.1800,44780,10904043,7866483.2964,0
1675222200000,0.7217,0.7224,0.7011,0.7111,23064998,1675223999999,16376583.7702,49276,10616330,7540271.5619,0
1675224000000,0.7109,0.7232,0.7068,0.7153,18480105,1675225799999,13218380.1870,40559,9492264,6792582.5427,0
1675225800000,0.7155,0.7254,0.7020,0.7085,18231582,1675227599999,13048318.6512,40206,8845296,6337370.2415,0
1675227600000,0.7085,0.7181,0.7027,0.7090,14236523,1675229399999,10112282.8371,35209,6777647,4815459.1085,0
1675229400000,0.7091,0.7162,0.7050,0.7106,13894239,1675231199999,9874993.1572,33025,7073337,5028518.0514,0
1675231200000,0.7107,0.7109,0.6651,0.6685,69098939,1675232999999,46973214.6689,118766,32249579,21903839.1349,0
1675233000000,0.6682,0.6697,0.6539,0.6552,36689376,1675234799999,24248646.4745,82692,16932795,11194734.6421,0
1675234800000,0.6553,0.6568,0.6368,0.6409,34215501,1675236599999,22097022.0524,67319,16850812,10883408.5281,0
1675236600000,0.6410,0.6425,0.6333,0.6389,21733731,1675238399999,13877498.6195,44469,11884550,7591070.6466,0
1675238400000,0.6392,0.6392,0.6250,0.6290,27771779,1675240199999,17497264.4510,49663,13538778,8532632.0320,0
1675240200000,0.6290,0.6381,0.6280,0.6332,18013981,1675241999999,11393702.3253,33548,9716536,6148293.2554,0
1675242000000,0.6331,0.6335,0.6149,0.6185,24593297,1675243799999,15288166.3266,47671,11350860,7057771.6301,0
1675243800000,0.6182,0.6182,0.6058,0.6079,16809148,1675245599999,10273714.3910,33063,8298884,5072743.7036,0
1675245600000,0.6080,0.6228,0.6080,0.6119,23164763,1675247399999,14247732.0202,41678,12125256,7457873.0079,0
1675247400000,0.6118,0.6164,0.6077,0.6142,9391710,1675249199999,5753245.9560,19162,4896641,3000386.7102,0
1675249200000,0.6143,0.6233,0.6109,0.6194,11714574,1675250999999,7231732.5761,22491,6293991,3886626.8096,0
1675251000000,0.6194,0.6195,0.6123,0.6171,7258713,1675252799999,4466879.0233,14797,3566944,2195158.1916,0
1675252800000,0.6171,0.6200,0.6102,0.6177,9704263,1675254599999,5965344.4423,19203,4950384,3043999.9557,0
1675254600000,0.6177,0.6199,0.6138,0.6170,6267707,1675256399999,3867222.9414,12946,3063229,1890511.4133,0
1675256400000,0.6169,0.6172,0.5936,0.6013,24382083,1675258199999,14635589.9903,45964,10513016,6308033.2100,0
1675258200000,0.6013,0.6076,0.5971,0.5981,11886108,1675259999999,7151472.2141,23431,5803421,3493662.1447,0
1675260000000,0.5980,0.6053,0.5939,0.6013,11592996,1675261799999,6948339.8421,23734,6077028,3644205.7883,0
1675261800000,0.6012,0.6032,0.5900,0.5967,12897196,1675263599999,7709634.6992,24947,6083523,3638580.4688,0
1675263600000,0.5968,0.5993,0.5872,0.5903,12921424,1675265399999,7655678.8359,27138,6106170,3619759.0740,0
1675265400000,0.5903,0.6021,0.5870,0.5941,15307766,1675267199999,9114883.6209,30898,7697473,4585720.6643,0
1675267200000,0.5941,0.5970,0.5889,0.5919,8564609,1675268999999,5077636.8112,18148,4286328,2541459.3838,0
1675269000000,0.5919,0.5973,0.5898,0.5962,5737597,1675270799999,3407538.6435,12311,2807213,1667547.0325,0
1675270800000,0.5961,0.5983,0.5902,0.5932,6051766,1675272599999,3595834.7944,12888,2994864,1779408.6014,0
1675272600000,0.5931,0.5943,0.5878,0.5923,5826109,1675274399999,3442694.1197,13472,2773028,1638862.1058,0
