open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,2.301,2.313,2.278,2.286,364749.3,1675211399999,837386.1786,4041,177789.8,408207.3302,0
1675211400000,2.286,2.310,2.280,2.299,235936.2,1675213199999,542478.3899,2411,126116.7,289939.8657,0
1675213200000,2.300,2.306,2.280,2.282,244068.1,1675214999999,560451.9084,2455,114113.6,262090.9324,0
1675215000000,2.282,2.308,2.279,2.305,226714.5,1675216799999,520478.4887,2288,114466.3,262758.3818,0
1675216800000,2.305,2.311,2.302,2.307,132614.6,1675218599999,305961.0636,1389,67104.3,154821.6601,0
1675218600000,2.307,2.315,2.302,2.312,139941.1,1675220399999,323139.3802,1482,69083.2,159543.1178,0
1675220400000,2.313,2.326,2.310,2.310,251016.0,1675222199999,581595.2784,2264,129384.3,299786.0600,0
1675222200000,2.310,2.325,2.308,2.324,106731.6,1675223999999,247250.6995,1255,61784.5,143162.6163,0
1675224000000,2.324,2.333,2.320,2.330,225081.0,1675225799999,523740.8451,2083,109939.2,255848.1696,0
1675225800000,2.329,2.333,2.321,2.326,76708.1,1675227599999,178559.0550,1083,32129.6,74811.6016,0
1675227600000,2.327,2.330,2.321,2.327,117772.5,1675229399999,273858.7136,1290,50720.4,117939.3696,0
1675229400000,2.326,2.331,2.320,2.321,99012.9,1675231199999,230134.2808,1271,48504.2,112727.3948,0
1675231200000,2.321,2.330,2.303,2.309,345868.3,1675232999999,801501.4608,3394,169231.9,392187.1303,0
1675233000000,2.309,2.319,2.288,2.290,272406.8,1675234799999,628031.3678,2850,145848.8,336418.6787,0
1675234800000,2.290,2.300,2.275,2.300,316212.2,1675236599999,722839.1640,3232,147046.4,336156.4162,0
1675236600000,2.300,2.304,2.279,2.279,153594.4,1675238399999,351701.1327,1638,63337.8,145144.1105,0
1675238400000,2.279,2.284,2.248,2.254,299633.1,1675240199999,679905.6650,2976,157270.0,356855.8770,0
1675240200000,2.254,2.263,2.242,2.248,228709.0,1675241999999,515511.1559,2386,110530.9,249167.8124,0
1675242000000,2.249,2.269,2.230,2.269,322928.6,1675243799999,726450.1485,3141,157316.9,354055.9389,0
1675243800000,2.268,2.269,2.251,2.258,163873.2,1675245599999,370330.3902,1803,73580.2,166271.3922,0
1675245600000,2.258,2.273,2.254,2.260,175111.8,1675247399999,396444.7424,2016,88109.6,199476.3836,0
1675247400000,2.259,2.263,2.244,2.259,126990.6,1675249199999,286232.3545,1625,59262.9,133604.7433,0
1675249200000,2.259,2.281,2.256,2.280,109861.4,1675250999999,249442.1753,1396,60908.1,138370.1007,0
1675251000000,2.280,2.281,2.270,2.272,104509.0,1675252799999,237527.2460,1195,42290.1,96102.8644,0
1675252800000,2.272,2.276,2.262,2.275,189767.9,1675254599999,430523.0896,1755,103506.5,234824.1997,0
1675254600000,2.276,2.280,2.269,2.274,92828.9,1675256399999,211252.2087,1116,46787.8,106472.0977,0
1675256400000,2.274,2.286,2.249,2.275,324824.7,1675258199999,737406.3693,3326,159835.8,362933.4032,0
1675258200000,2.274,2.274,2.257,2.259,153071.3,1675259999999,346636.2021,1855,72770.4,164815.5259,0
1675260000000,2.259,2.271,2.251,2.261,149178.0,1675261799999,337083.4682,1758,74776.6,169014.8319,0
1675261800000,2.260,2.272,2.241,2.254,470551.1,1675263599999,1063076.0283,4367,247916.3,560134.4576,0
1675263600000,2.255,2.257,2.218,2.229,433630.7,1675265399999,969983.5846,4164,218736.0,489204.4952,0
1675265400000,2.230,2.241,2.187,2.207,620548.8,1675267199999,1371668.5878,5604,309471.4,684337.4363,0
1675267200000,2.207,2.214,2.196,2.207,244888.2,1675268999999,539934.1167,2892,124086.0,273575.2403,0
1675269000000,2.207,2.214,2.189,2.213,282693.1,1675270799999,622986.5088,2930,152403.9,335859.8100,0
1675270800000,2.213,2.229,2.199,2.226,239430.1,1675272599999,530106.9430,2537,113272.1,250829.3881,0
1675272600000,2.225,2.225,2.198,2.217,251718.0,1675274399999,557101.6395,2446,129199.8,285951.8248,0
1675274400000,2.216,2.245,2.205,2.243,348437.2,1675276199999,773156.4767,4026,178746.3,396687.9032,0
1675276200000,2.244,2.271,2.233,2.249,711441.6,1675277999999,1601197.5848,7013,371754.9,837004.5155,0
1675278000000,2.249,2.302,2.235,2.283,1102468.8,1675279799999,2509555.4794,12731,554137.7,1261578.6435,0
1675279800000,2.282,2.393,2.256,2.358,2293853.7,1675281599999,5361096.5610,20445,1110135.6,2593347.9615,0
1675281600000,2.358,2.472,2.358,2.471,2157232.2,1675283399999,5225515.4161,19485,1115210.5,2699648.6749,0
1675283400000,2.472,2.583,2.466,2.580,3618884.9,1675285199999,9128880.9913,28309,1934665.2,4879671.4145,0
