open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,0.2828,0.2839,0.2802,0.2808,2195501.4,1675211399999,619434.34909,4166,1197770.4,337991.64035,0
1675211400000,0.2807,0.2878,0.2804,0.2845,4951875.5,1675213199999,1410039.63240,6159,2707169.2,770192.89690,0
1675213200000,0.2846,0.2867,0.2836,0.2844,1889543.8,1675214999999,538593.96627,2948,1101371.8,313983.56104,0
1675215000000,0.2844,0.2863,0.2837,0.2850,1577851.5,1675216799999,449451.12383,2430,818758.8,233180.57991,0
1675216800000,0.2851,0.2868,0.2843,0.2861,1489208.6,1675218599999,425373.82041,2104,971378.2,277450.35718,0
1675218600000,0.2860,0.2881,0.2856,0.2869,2422274.9,1675220399999,695034.42140,2719,1163358.8,333909.78529,0
1675220400000,0.2868,0.2882,0.2865,0.2875,1271951.3,1675222199999,365536.41835,1921,663596.2,190757.91177,0
1675222200000,0.2874,0.2882,0.2862,0.2875,1226290.6,1675223999999,352501.97705,1597,624454.6,179525.05593,0
1675224000000,0.2876,0.2904,0.2875,0.2903,1411089.0,1675225799999,407558.58606,2107,817482.4,236224.29083,0
1675225800000,0.2902,0.2915,0.2877,0.2883,1948817.0,1675227599999,564768.82998,2604,777910.8,225677.16526,0
1675227600000,0.2882,0.2893,0.2877,0.2883,798348.3,1675229399999,230371.53050,1325,338391.6,97691.60927,0
1675229400000,0.2884,0.2886,0.2853,0.2858,2108152.9,1675231199999,604915.73268,2798,891250.2,255875.20052,0
1675231200000,0.2859,0.2869,0.2815,0.2820,3393267.8,1675232999999,963682.07884,4420,1380496.2,391991.20126,0
1675233000000,0.2820,0.2844,0.2792,0.2795,6160038.1,1675234799999,1741873.66584,5797,2550670.5,721147.56998,0
1675234800000,0.2795,0.2808,0.2771,0.2807,3362079.6,1675236599999,936543.65320,4383,1631047.8,454522.55760,0
1675236600000,0.2806,0.2813,0.2793,0.2801,1089783.0,1675238399999,305282.75004,1549,565974.8,158538.99195,0
1675238400000,0.2800,0.2805,0.2743,0.2752,3417380.2,1675240199999,948764.27451,4538,1650194.9,458815.66192,0
1675240200000,0.2753,0.2775,0.2751,0.2766,1258477.8,1675241999999,347775.50143,2319,768850.0,212429.77852,0
1675242000000,0.2766,0.2775,0.2735,0.2774,1565513.7,1675243799999,431132.57840,2790,755662.2,208256.61126,0
1675243800000,0.2774,0.2775,0.2757,0.2768,756894.1,1675245599999,209296.31709,1612,388009.0,107291.02782,0
1675245600000,0.2769,0.2785,0.2762,0.2769,1231154.2,1675247399999,341535.64728,2102,715105.6,198399.44566,0
1675247400000,0.2768,0.2777,0.2756,0.2773,648760.0,1675249199999,179580.98407,1207,340502.6,94255.03377,0
1675249200000,0.2772,0.2793,0.2767,0.2791,1003303.7,1675250999999,278852.53172,1765,649753.7,180670.69260,0
1675251000000,0.2791,0.2791,0.2780,0.2786,750133.8,1675252799999,208902.92864,1292,402521.5,112102.07820,0
1675252800000,0.2786,0.2792,0.2774,0.2788,968109.9,1675254599999,269425.99287,1750,496889.2,138301.53490,0
1675254600000,0.2788,0.2789,0.2772,0.2777,992416.8,1675256399999,275956.21420,1330,361308.0,100463.68592,0
1675256400000,0.2777,0.2795,0.2752,0.2781,1869406.6,1675258199999,518263.65975,2876,811764.7,225167.58223,0
1675258200000,0.2781,0.2786,0.2767,0.2773,720401.2,1675259999999,199968.75035,1333,370196.6,102758.09657,0
1675260000000,0.2772,0.2783,0.2765,0.2771,746383.9,1675261799999,206877.65707,1700,375857.2,104197.46261,0
1675261800000,0.2771,0.2778,0.2753,0.2766,1158278.6,1675263599999,320357.74145,2463,523975.7,144881.97911,0
1675263600000,0.2766,0.2767,0.2727,0.2746,1819610.5,1675265399999,500138.99247,3266,926708.4,254831.73502,0
1675265400000,0.2745,0.2756,0.2687,0.2710,3830034.5,1675267199999,1040410.10807,5577,1401324.2,380934.15475,0
1675267200000,0.2709,0.2732,0.2704,0.2722,1666337.5,1675268999999,453414.18985,2911,871322.9,237091.85657,0
1675269000000,0.2721,0.2726,0.2700,0.2718,1016725.6,1675270799999,276073.62056,2052,453890.1,123224.38215,0
1675270800000,0.2718,0.2723,0.2690,0.2718,1401680.3,1675272599999,379314.40030,2141,596075.6,161451.08930,0
1675272600000,0.2716,0.2721,0.2682,0.2706,1407983.9,1675274399999,380800.95536,2374,651265.9,176185.70108,0
1675274400000,0.2706,0.2728,0.2690,0.2726,1050318.6,1675276199999,284116.96750,2403,507600.2,137317.21291,0
1675276200000,0.2727,0.2731,0.2711,0.2723,1445953.5,1675277999999,393685.20302,2849,710024.2,193331.53986,0
1675278000000,0.2723,0.2773,0.2713,0.2737,4157713.8,1675279799999,1142766.22658,7354,2130820.0,585598.42790,0
1675279800000,0.2737,0.2852,0.2711,0.2826,6553019.1,1675281599999,1830922.36249,10235,3256817.5,909107.59252,0
1675281600000,0.2827,0.2875,0.2827,0.2868,4149399.9,1675283399999,1184267.62928,6615,1962013.2,559972.02297,0
1675283400000,0.2869,0.2882,0.2862,0.2882,2698958.1,1675285199999,774768.65228,4268,1153368.1,331084.08126,0
1675285200000,0.2882,0.2920,0.2882,0.2905,2894766.6,1675286999999,841076.29777,4548,1360900.3,395344.08510,0
1675287000000,0.2905,0.2916,0.2886,0.2914,2024641.8,1675288799999,587986.66547,3413,1075505.8,312311.77864,0
1675288800000,0.2914,0.2939,0.2913,0.2929,1337838.7,1675290599999,391490.72483,2402,764288.5,223639.91246,0
1675290600000,0.2930,0.2959,0.2915,0.2920,3304162.6,1675292399999,971518.96505,3299,1440544.7,423235.45388,0
1675292400000,0.2921,0.2938,0.2919,0.2934,1250512.8,1675294199999,366045.61508,2326,682039.3,199655.50976,0
1675294200000,0.2934,0.2935,0.2911,0.2924,1113246.7,1675295999999,325320.88781,2104,544464.2,159123.15236,0
1675296000000,0.2925,0.2989,0.2923,0.2974,5352608.0,1675297799999,1583415.06894,7503,2900027.5,857520.69287,0
1675297800000,0.2972,0.3023,0.2971,0.3011,6469250.3,1675299599999,1941629.79613,8599,3145252.6,943692.98300,0
1675299600000,0.3011,0.3022,0.2993,0.3011,1695476.7,1675301399999,509661.26248,3062,957489.3,287888.37006,0
1675301400000,0.3012,0.3014,0.2981,0.2985,1831253.5,1675303199999,547886.54014,2507,757553.4,226708.68077,0
1675303200000,0.2983,0.3008,0.2979,0.2994,2576243.6,1675304999999,770440.43880,2351,1429421.7,427218.90671,0
1675305000000,0.2994,0.3041,0.2963,0.3020,3800029.2,1675306799999,1143466.27927,4554,1897320.4,571601.74608,0
1675306800000,0.3021,0.3028,0.3014,0.3028,946849.6,1675308599999,286058.84813,1759,461220.7,139368.31225,0
1675308600000,0.3027,0.3079,0.3024,0.3065,3915695.2,1675310399999,1197223.03892,5303,2179584.4,666310.60543,0
1675310400000,0.3065,0.3077,0.3058,0.3070,1751684.9,1675312199999,537487.30524,2631,856645.7,262908.91854,0
1675312200000,0.3071,0.3098,0.3070,0.3084,2502477.3,1675313999999,772107.95087,3461,1338242.6,412940.78370,0
1675314000000,0.3085,0.3098,0.3062,0.3068,2050619.8,1675315799999,631787.44086,3113,931717.9,286972.19239,0
1675315800000,0.3069,0.3078,0.3037,0.3038,1731130.0,1675317599999,529363.82032,2839,669447.0,204811.73520,0
1675317600000,0.3039,0.3061,0.3007,0.3025,2517978.4,1675319399999,764611.84877,3577,1245343.2,378506.46809,0
1675319400000,0.3024,0.3039,0.3022,0.3029,1018913.4,1675321199999,308904.87969,1559,499434.8,151430.19931,0
1675321200000,0.3029,0.3045,0.3027,0.3044,1194192.9,1675322999999,362353.87958,1627,826268.8,250784.82856,0
1675323000000,0.3043,0.3044,0.3020,0.3034,897459.3,1675324799999,272147.91610,1477,404166.9,122571.53292,0
1675324800000,0.3033,0.3043,0.3021,0.3039,1060692.7,1675326599999,321267.89173,1758,473423.5,143451.22771,0
1675326600000,0.3039,0.3055,0.3035,0.3054,1023278.9,1675328399999,311276.97520,1657,554327.8,168677.58254,0
1675328400000,0.3053,0.3068,0.3034,0.3040,1883221.1,1675330199999,574860.82884,2403,920386.2,280804.76330,0
1675330200000,0.3039,0.3051,0.3039,0.3044,1089540.1,1675331999999,331728.13899,1642,656241.6,199814.15670,0
1675332000000,0.3044,0.3046,0.3033,0.3037,662036.7,1675333799999,201246.93685,1212,324295.5,98588.82677,0
1675333800000,0.3037,0.3048,0.3033,0.3047,505417.6,1675335599999,153701.84613,1014,243498.6,74063.82878,0
1675335600000,0.3047,0.3075,0.3042,0.3065,1759785.3,1675337399999,538716.62346,2605,889314.9,272225.82378,0
1675337400000,0.3066,0.3066,0.3049,0.3057,849853.8,1675339199999,259880.82565,1781,352907.2,107905.95525,0
