open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,15.470,15.600,15.370,15.480,41631.5,1675211399999,645752.1390,3253,22489.5,348869.8300,0
1675211400000,15.480,15.760,15.470,15.650,44737.6,1675213199999,700720.3520,3067,20925.6,327803.7960,0
1675213200000,15.660,15.840,15.630,15.650,41070.1,1675214999999,646952.5580,2627,17982.5,283202.9830,0
1675215000000,15.650,15.820,15.640,15.760,26667.5,1675216799999,419297.6940,1703,11184.4,175832.8630,0
1675216800000,15.760,15.860,15.730,15.850,17672.2,1675218599999,279043.3370,1591,9958.1,157250.0990,0
1675218600000,15.850,15.920,15.830,15.920,28695.6,1675220399999,455662.3320,1902,13971.8,221886.3610,0
1675220400000,15.910,15.990,15.850,15.860,28486.2,1675222199999,453485.9040,1931,8929.7,142163.7500,0
1675222200000,15.870,15.940,15.780,15.910,22713.1,1675223999999,360064.6670,1419,9686.7,153657.5520,0
1675224000000,15.920,16.000,15.850,15.900,27712.2,1675225799999,441198.1840,1773,12851.1,204703.6890,0
1675225800000,15.900,15.920,15.780,15.800,18238.2,1675227599999,288912.1570,1321,7505.3,118917.4660,0
1675227600000,15.810,15.830,15.740,15.760,12677.8,1675229399999,199988.1320,1323,5534.2,87316.3750,0
1675229400000,15.760,15.780,15.640,15.640,14782.3,1675231199999,232174.5150,1040,5143.8,80824.0090,0
1675231200000,15.650,15.780,15.570,15.600,38156.4,1675232999999,598517.8690,2770,17282.9,271023.6290,0
1675233000000,15.610,15.690,15.510,15.530,23984.6,1675234799999,374256.9390,1860,10868.9,169628.2890,0
1675234800000,15.540,15.690,15.420,15.650,29245.4,1675236599999,454434.6860,2109,13429.8,208879.2050,0
1675236600000,15.650,15.700,15.550,15.560,14767.2,1675238399999,230742.7320,1139,6475.1,101129.7120,0
1675238400000,15.570,15.580,15.260,15.300,41102.8,1675240199999,633175.9280,2862,17371.4,267644.7530,0
1675240200000,15.300,15.460,15.260,15.390,20651.1,1675241999999,317340.1390,1850,9872.3,151676.4170,0
1675242000000,15.380,15.500,15.230,15.490,28976.3,1675243799999,444978.6800,2438,14389.1,220874.8110,0
1675243800000,15.500,15.520,15.420,15.490,14521.1,1675245599999,224671.8310,1350,6487.9,100379.3130,0
1675245600000,15.490,15.560,15.400,15.490,16970.3,1675247399999,262663.5500,1861,7554.2,116945.6750,0
1675247400000,15.490,15.580,15.420,15.560,18575.3,1675249199999,288209.6090,1390,9046.3,140335.7560,0
1675249200000,15.550,15.680,15.510,15.660,25670.8,1675250999999,400709.9670,1661,14058.1,219416.5470,0
1675251000000,15.660,15.680,15.590,15.670,16567.7,1675252799999,259144.5290,1188,8208.4,128407.8330,0
1675252800000,15.670,15.680,15.550,15.610,23240.5,1675254599999,362710.2530,1683,10317.4,161051.0140,0
1675254600000,15.620,15.620,15.490,15.520,13635.4,1675256399999,212016.6180,1093,5557.3,86424.4920,0
1675256400000,15.520,15.620,15.360,15.540,38076.3,1675258199999,590630.1340,2531,15920.5,247066.8830,0
1675258200000,15.530,15.570,15.490,15.540,11503.6,1675259999999,178729.2070,1205,5708.0,88681.0210,0
1675260000000,15.540,15.620,15.490,15.520,15338.4,1675261799999,238491.6030,1521,7491.6,116539.7080,0
1675261800000,15.530,15.630,15.440,15.530,28964.6,1675263599999,449819.0580,2468,15192.2,235912.6630,0
1675263600000,15.540,15.580,15.300,15.420,31660.3,1675265399999,488903.7720,2665,14761.3,227949.0050,0
1675265400000,15.410,15.500,15.120,15.210,54536.0,1675267199999,833796.8700,3653,23980.2,366481.5480,0
1675267200000,15.200,15.350,15.140,15.260,28564.8,1675268999999,435710.8780,2299,12724.0,194095.3440,0
1675269000000,15.270,15.320,15.100,15.230,19138.0,1675270799999,291356.9080,1765,9006.3,137112.9600,0
1675270800000,15.240,15.320,15.140,15.270,21696.3,1675272599999,330230.4580,1803,9634.3,146682.0450,0
1675272600000,15.270,15.290,15.020,15.150,19154.2,1675274399999,290377.7020,1816,8064.6,122305.3120,0
1675274400000,15.150,15.160,14.940,15.130,46414.4,1675276199999,698314.1840,2985,18090.9,272256.2550,0
1675276200000,15.130,15.170,14.980,15.010,34022.8,1675277999999,512207.2230,2666,14825.8,223219.5290,0
1675278000000,15.000,15.530,14.910,15.230,108758.0,1675279799999,1659637.3540,6945,57543.3,877755.4580,0
1675279800000,15.230,15.900,15.090,15.810,135747.5,1675281599999,2108766.2040,9052,65207.3,1012424.0690,0
1675281600000,15.810,16.070,15.810,16.070,70791.2,1675283399999,1129249.1630,5189,37042.2,591019.0470,0
1675283400000,16.070,16.130,15.770,15.930,107183.7,1675285199999,1707309.2400,6304,43051.8,685766.2300,0
1675285200000,15.940,16.500,15.940,16.380,113627.3,1675286999999,1846669.2160,7076,70532.9,1145868.9220,0
1675287000000,16.390,16.460,16.190,16.310,59177.6,1675288799999,965942.7980,3738,26576.1,434093.0130,0
1675288800000,16.320,16.780,16.320,16.690,60537.1,1675290599999,1005204.3000,4433,36405.7,604054.8130,0
1675290600000,16.700,16.800,16.620,16.770,21777.9,1675292399999,363794.4430,1956,10041.6,167774.2370,0
1675292400000,16.770,17.190,16.760,17.180,49473.9,1675294199999,837831.4060,4191,26612.3,450972.9440,0
1675294200000,17.180,17.240,16.900,17.140,83618.2,1675295999999,1426500.6420,5112,44079.7,751794.0930,0
