open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,5.578,5.680,5.575,5.588,311531.9,1675211399999,1754693.9083,8431,163906.4,923210.7599,0
1675211400000,5.586,5.665,5.564,5.623,128419.4,1675213199999,722464.2440,3882,58310.2,328095.6833,0
1675213200000,5.624,5.641,5.579,5.588,76379.8,1675214999999,428958.0876,2472,36862.3,207072.4187,0
1675215000000,5.586,5.647,5.581,5.627,56197.4,1675216799999,315695.2716,2214,32170.8,180697.1787,0
1675216800000,5.625,5.626,5.603,5.614,36258.9,1675218599999,203552.4227,1508,16757.1,94076.3167,0
1675218600000,5.612,5.649,5.608,5.647,47980.1,1675220399999,270226.2548,1809,26948.2,151777.0563,0
1675220400000,5.646,5.674,5.611,5.614,69833.3,1675222199999,394127.7997,2203,30681.8,173238.4533,0
1675222200000,5.613,5.648,5.602,5.637,47660.1,1675223999999,268203.3893,1714,23375.1,131578.1027,0
1675224000000,5.638,5.684,5.635,5.656,98353.5,1675225799999,556717.6829,2657,51829.8,293429.2182,0
1675225800000,5.657,5.669,5.631,5.645,59963.2,1675227599999,338933.1519,1736,23396.3,132277.3494,0
1675227600000,5.646,5.659,5.629,5.647,60084.2,1675229399999,339149.8082,1658,24451.3,138035.3427,0
1675229400000,5.648,5.658,5.606,5.611,69820.0,1675231199999,392547.2118,1814,27468.1,154479.7173,0
1675231200000,5.611,5.618,5.552,5.577,102455.5,1675232999999,572424.9616,2898,37309.8,208547.3861,0
1675233000000,5.580,5.592,5.483,5.512,147187.9,1675234799999,815161.2160,4095,50527.8,279853.6390,0
1675234800000,5.512,5.576,5.473,5.571,135945.4,1675236599999,750385.4040,3629,62658.9,346095.9192,0
1675236600000,5.572,5.576,5.534,5.546,59498.4,1675238399999,330477.0491,1556,23532.0,130722.0939,0
1675238400000,5.547,5.553,5.449,5.461,114444.5,1675240199999,629425.9054,3623,51335.6,282466.1069,0
1675240200000,5.462,5.521,5.450,5.502,97583.9,1675241999999,535839.1374,2844,47979.5,263367.2687,0
1675242000000,5.501,5.513,5.420,5.513,111488.1,1675243799999,609774.7748,3639,50397.6,275713.0309,0
1675243800000,5.513,5.515,5.481,5.490,56540.4,1675245599999,310714.3659,1821,25555.1,140425.6160,0
1675245600000,5.491,5.518,5.472,5.485,84132.4,1675247399999,462514.1546,2469,39738.5,218480.0367,0
1675247400000,5.485,5.503,5.453,5.497,61886.5,1675249199999,339282.2837,1834,31215.7,171132.1958,0
1675249200000,5.496,5.535,5.486,5.528,60357.1,1675250999999,332862.9934,1754,32906.2,181469.3218,0
1675251000000,5.527,5.531,5.511,5.516,41206.9,1675252799999,227458.1399,1422,20461.4,112954.6259,0
1675252800000,5.517,5.567,5.489,5.556,204439.1,1675254599999,1132181.9675,4185,105694.9,585215.1191,0
1675254600000,5.556,5.594,5.541,5.554,108629.3,1675256399999,604549.6002,2826,59237.2,329676.0849,0
1675256400000,5.557,5.585,5.490,5.549,154755.0,1675258199999,858107.6362,4465,73757.9,409020.8548,0
1675258200000,5.548,5.561,5.517,5.531,70978.1,1675259999999,393173.8771,2378,31752.0,175923.0946,0
1675260000000,5.533,5.535,5.481,5.484,154818.7,1675261799999,852942.1936,3406,58418.5,321892.6215,0
1675261800000,5.487,5.497,5.365,5.379,393502.1,1675263599999,2132453.0451,9605,161221.2,873616.8138,0
1675263600000,5.379,5.399,5.330,5.394,263119.0,1675265399999,1413655.3110,7196,128083.1,688404.0444,0
1675265400000,5.394,5.405,5.271,5.326,360531.6,1675267199999,1924514.7337,8522,175918.5,939114.5864,0
1675267200000,5.328,5.392,5.325,5.354,145051.9,1675268999999,777762.4512,4219,71168.9,381541.1260,0
1675269000000,5.355,5.363,5.282,5.334,100298.8,1675270799999,534292.8835,3557,43586.6,232316.2236,0
1675270800000,5.333,5.347,5.291,5.333,78124.6,1675272599999,415558.6777,2906,39272.0,208879.9043,0
1675272600000,5.330,5.333,5.228,5.275,182730.9,1675274399999,963480.3557,5010,81883.6,431913.2644,0
1675274400000,5.274,5.336,5.242,5.323,136745.1,1675276199999,722123.7717,4281,66507.0,351480.2407,0
1675276200000,5.326,5.342,5.274,5.303,140807.2,1675277999999,747011.8875,4237,73108.8,387952.2319,0
1675278000000,5.300,5.449,5.274,5.356,450811.6,1675279799999,2427066.9422,13674,233028.1,1255011.9442,0
1675279800000,5.355,5.638,5.300,5.609,661530.2,1675281599999,3642455.2780,18753,325670.3,1792350.3611,0
1675281600000,5.613,5.721,5.592,5.690,383024.3,1675283399999,2167046.6819,10900,171220.3,969117.5057,0
1675283400000,5.689,5.733,5.659,5.720,223197.9,1675285199999,1271657.7864,7128,113104.3,644719.4210,0
1675285200000,5.721,5.841,5.720,5.798,336400.5,1675286999999,1947581.4447,9749,168811.3,977595.2343,0
1675287000000,5.798,5.834,5.750,5.785,187764.2,1675288799999,1087613.5046,5328,78865.9,457025.1242,0
1675288800000,5.786,5.842,5.786,5.812,144270.9,1675290599999,839497.8962,4389,66129.6,384832.8736,0
1675290600000,5.811,5.830,5.782,5.824,79858.6,1675292399999,463885.4271,2622,33958.0,197337.6766,0
1675292400000,5.824,5.862,5.811,5.859,118963.2,1675294199999,695076.8979,3467,62352.5,364357.8116,0
1675294200000,5.862,5.869,5.781,5.807,94236.4,1675295999999,547295.0259,2909,32157.4,186711.3782,0
1675296000000,5.808,5.910,5.807,5.869,303690.4,1675297799999,1782746.9943,7464,158312.4,929382.2098,0
1675297800000,5.867,6.000,5.864,5.986,318265.3,1675299599999,1896198.6481,8315,138389.2,824092.6621,0
1675299600000,5.987,6.050,5.955,6.014,187336.9,1675301399999,1125114.2678,6112,94334.9,566524.1323,0
1675301400000,6.016,6.037,5.964,5.973,84965.8,1675303199999,509505.1786,3146,34443.1,206575.8407,0
1675303200000,5.972,6.025,5.968,5.985,84472.3,1675304999999,506600.7706,2961,40927.4,245460.8010,0
1675305000000,5.983,6.025,5.957,6.000,95788.6,1675306799999,574379.3534,3289,42803.2,256671.4709,0
1675306800000,6.001,6.069,5.992,6.029,102931.1,1675308599999,620931.3920,3525,49978.3,301508.9643,0
1675308600000,6.028,6.177,6.025,6.103,231619.4,1675310399999,1415000.6058,6290,118078.6,721086.3915,0
1675310400000,6.101,6.190,6.081,6.154,189736.7,1675312199999,1165435.2073,5049,104450.0,641612.8554,0
1675312200000,6.155,6.244,6.155,6.194,245077.1,1675313999999,1520246.4842,7008,118840.1,737169.0628,0
1675314000000,6.195,6.197,6.060,6.070,214963.6,1675315799999,1316637.4278,5570,83252.3,510225.6224,0
1675315800000,6.071,6.080,6.021,6.028,138717.2,1675317599999,839724.2246,3694,65684.7,397866.3094,0
1675317600000,6.028,6.088,5.991,5.996,207249.4,1675319399999,1251264.5455,5470,82292.7,497199.9265,0
1675319400000,5.995,6.048,5.995,6.018,69732.4,1675321199999,420265.0264,2308,34173.2,205986.7230,0
1675321200000,6.019,6.033,5.986,6.000,81107.3,1675322999999,487238.6057,2414,35064.4,210721.3109,0
1675323000000,6.000,6.011,5.912,5.943,144922.4,1675324799999,862160.5742,4184,56884.0,338365.3198,0
1675324800000,5.942,5.993,5.941,5.988,109277.8,1675326599999,652228.9054,3193,54591.6,325833.3881,0
1675326600000,5.987,5.995,5.966,5.986,55622.9,1675328399999,332596.3775,1852,26894.3,160830.4831,0
1675328400000,5.985,5.985,5.941,5.966,51888.9,1675330199999,309409.4368,2042,23767.4,141727.3343,0
1675330200000,5.967,6.028,5.963,6.026,76776.2,1675331999999,461054.6804,2594,41364.3,248429.2043,0
1675332000000,6.025,6.025,5.996,6.022,70412.4,1675333799999,423151.1995,2086,33091.4,198890.4503,0
1675333800000,6.021,6.200,6.007,6.144,360018.6,1675335599999,2205622.7033,8601,219371.7,1343644.1027,0
1675335600000,6.143,6.216,6.082,6.174,460595.4,1675337399999,2826834.3002,10065,222837.7,1368039.1153,0
1675337400000,6.174,6.174,6.099,6.123,207718.3,1675339199999,1273658.7537,5655,102638.2,629411.1337,0
1675339200000,6.123,6.125,6.062,6.088,245341.5,1675340999999,1492442.4935,5350,101414.6,616930.1385,0
1675341000000,6.089,6.099,6.042,6.078,134197.3,1675342799999,815126.3744,3492,52118.7,316683.2089,0
1675342800000,6.079,6.109,6.030,6.092,174388.4,1675344599999,1058545.6129,4559,83474.7,506648.4624,0
1675344600000,6.093,6.097,6.006,6.042,137905.5,1675346399999,833380.1152,4110,50141.4,303152.3258,0
1675346400000,6.043,6.086,6.020,6.061,106005.4,1675348199999,641481.6002,3364,59951.7,362880.1249,0
1675348200000,6.063,6.081,5.912,5.956,259830.4,1675349999999,1559724.1435,7535,101239.2,607830.0496,0
1675350000000,5.954,6.043,5.954,6.023,190125.1,1675351799999,1141767.4479,5962,94478.0,567427.7469,0
1675351800000,6.023,6.083,6.021,6.060,130731.1,1675353599999,791402.7530,4094,68257.1,413287.6308,0
1675353600000,6.060,6.100,6.031,6.091,165846.5,1675355399999,1005241.0067,5537,82098.0,497906.2751,0
1675355400000,6.091,6.112,6.052,6.077,116651.0,1675357199999,709422.9691,3786,54128.0,329339.0868,0
1675357200000,6.078,6.099,6.064,6.071,102310.7,1675358999999,622336.7280,3410,48383.4,294412.1278,0
1675359000000,6.071,6.089,6.052,6.065,90719.6,1675360799999,550839.4099,2925,40134.8,243699.7897,0
1675360800000,6.064,6.173,6.057,6.112,337858.8,1675362599999,2068397.4457,8710,165462.4,1013070.2126,0
1675362600000,6.112,6.186,6.099,6.155,159221.2,1675364399999,979930.8231,5492,78700.0,484354.8759,0
1675364400000,6.155,6.169,5.985,6.047,317717.6,1675366199999,1929228.6876,8601,118895.3,722807.4343,0
1675366200000,6.047,6.105,6.017,6.051,205102.9,1675367999999,1242681.9811,6402,92018.2,557781.3012,0
1675368000000,6.051,6.067,6.017,6.045,95647.9,1675369799999,578038.5621,3293,42718.7,258179.5303,0
1675369800000,6.045,6.114,6.034,6.108,109374.5,1675371599999,665115.8374,3170,62397.7,379573.1999,0
1675371600000,6.110,6.123,6.025,6.047,157510.4,1675373399999,956469.2646,4428,73505.8,446440.2343,0
1675373400000,6.047,6.065,5.800,5.839,514379.0,1675375199999,3063327.5885,13483,235527.5,1406059.1481,0
1675375200000,5.836,5.967,5.816,5.945,366090.1,1675376999999,2156204.3461,10232,179210.6,1055844.6883,0
1675377000000,5.944,5.973,5.933,5.955,91683.1,1675378799999,546050.4625,3028,48662.7,289850.8155,0
1675378800000,5.955,6.006,5.888,5.896,197327.5,1675380599999,1174039.5750,5515,81791.7,487188.8379,0
1675380600000,5.895,5.931,5.840,5.871,173729.6,1675382399999,1022189.0101,4395,83419.2,490925.5714,0
1675382400000,5.869,5.999,5.869,5.942,220980.0,1675384199999,1312229.1791,5653,122043.1,724685.4407,0
1675384200000,5.942,5.985,5.859,5.978,121081.5,1675385999999,718065.4994,4244,59202.3,351151.2866,0
1675386000000,5.978,6.027,5.972,6.025,110565.0,1675387799999,663319.6744,3672,55513.2,333182.0947,0
